regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
+1 long,2010-09-16,2011-06-10,185,1.0,1.2831295209493938,0.2831295209493938,1.0,1.2404350928069847,0.04275856599139616,0.24043509280698472
-1 short/cash,2011-06-10,2011-07-01,15,1.2831295209493938,1.2812048266679696,-0.0015000000000000568,1.2404350928069847,1.2385744401677743,0.0,-0.0014999999999999458
+1 long,2011-07-01,2011-08-04,23,1.2812048266679696,1.1130913258368653,-0.13121516351785623,1.2385744401677743,1.0760546924721224,0.0,-0.13121516351785634
-1 short/cash,2011-08-04,2011-10-13,49,1.1130913258368653,1.11142168884811,-0.0014999999999999458,1.0760546924721224,1.074440610433414,0.0,-0.0015000000000000568
+1 long,2011-10-13,2011-11-21,27,1.11142168884811,0.9958773600744362,-0.10396083676702883,1.074440610433414,0.9627408655162792,0.0,-0.10396083676702872
-1 short/cash,2011-11-21,2011-12-05,9,0.9958773600744362,0.9943835440343245,-0.0015000000000000568,0.9627408655162792,0.9612967542180049,0.0,-0.0014999999999999458
+1 long,2011-12-05,2011-12-19,10,0.9943835440343245,0.8994008510982161,-0.09551917216042516,0.9612967542180049,0.8694744840545974,0.0,-0.09551917216042516
-1 short/cash,2011-12-19,2012-01-03,9,0.8994008510982161,0.8980517498215688,-0.0015000000000000568,0.8694744840545974,0.8681702723285155,0.0,-0.0014999999999999458
+1 long,2012-01-03,2012-11-08,214,0.8980517498215688,1.0926563623566272,0.21669643489222512,0.8681702723285155,1.0278849264762924,0.028457434897570414,0.18396696965839077
-1 short/cash,2012-11-08,2013-01-02,36,1.0926563623566272,1.0910173778130923,-0.0015000000000000568,1.0278849264762924,1.0263430990865778,0.0,-0.0015000000000000568
+1 long,2013-01-02,2015-08-21,664,1.0910173778130923,2.4959774372019945,1.2877522282963976,1.0263430990865778,2.1495364428078503,0.19878043978377608,1.0943643940519396
-1 short/cash,2015-08-21,2015-10-22,43,2.4959774372019945,2.4922334710461915,-0.0014999999999999458,2.1495364428078503,2.1463121381436383,0.0,-0.0015000000000000568
+1 long,2015-10-22,2016-01-07,52,2.4922334710461915,2.2668026351449715,-0.09045333774712072,2.1463121381436383,1.9521710414013855,0.0,-0.09045333774712139
-1 short/cash,2016-01-07,2016-03-29,55,2.2668026351449715,2.263402431192254,-0.0014999999999999458,1.9521710414013855,1.9492427848392835,0.0,-0.0014999999999999458
+1 long,2016-03-29,2016-05-04,26,2.263402431192254,2.101334500554361,-0.07160367436405168,1.9492427848392835,1.8096698392171744,0.0,-0.07160367436405157
-1 short/cash,2016-05-04,2016-05-27,17,2.101334500554361,2.0981824988035296,-0.0014999999999999458,1.8096698392171744,1.8069553344583487,0.0,-0.0014999999999999458
+1 long,2016-05-27,2016-06-24,19,2.0981824988035296,1.8839072463287545,-0.10212422065142746,1.8069553344583487,1.6224214291748513,0.0,-0.1021242206514269
-1 short/cash,2016-06-24,2016-07-08,9,1.8839072463287545,1.8810813854592614,-0.0014999999999999458,1.6224214291748513,1.619987797031089,0.0,-0.0015000000000000568
+1 long,2016-07-08,2018-10-11,570,1.8810813854592614,4.199653961869921,1.232574302384363,1.619987797031089,3.3168653292540142,0.300328289007359,1.0474631570267072
-1 short/cash,2018-10-11,2018-10-16,3,4.199653961869921,4.193354480927116,-0.0015000000000000568,3.3168653292540142,3.311890031260133,0.0,-0.0015000000000000568
+1 long,2018-10-16,2018-10-24,6,4.193354480927116,3.633361191813413,-0.13354303616847896,3.311890031260133,2.8696101810295365,0.0,-0.13354303616847896
-1 short/cash,2018-10-24,2019-03-05,88,3.633361191813413,3.627911150025693,-0.0015000000000000568,2.8696101810295365,2.8653057657579923,0.0,-0.0014999999999999458
+1 long,2019-03-05,2020-03-09,255,3.627911150025693,4.211683207146498,0.16091134346459146,2.8653057657579923,3.2565622421349145,0.06990858670810197,0.1365496419449037
-1 short/cash,2020-03-09,2020-04-14,25,4.211683207146498,4.205365682335779,-0.0014999999999999458,3.2565622421349145,3.251677398771712,0.0,-0.0015000000000000568
+1 long,2020-04-14,2022-01-19,446,4.205365682335779,11.516541501239407,1.7385350933008032,3.251677398771712,8.05612775073601,0.8499798877249619,1.477529829305678
-1 short/cash,2022-01-19,2022-08-15,143,11.516541501239407,11.499266688987548,-0.0014999999999999458,8.05612775073601,8.044043559109907,0.0,-0.0014999999999999458
+1 long,2022-08-15,2022-08-22,5,11.499266688987548,10.209551748282188,-0.11215627705551667,8.044043559109907,7.141853581047734,0.0,-0.11215627705551645
-1 short/cash,2022-08-22,2023-01-26,108,10.209551748282188,10.194237420659764,-0.0015000000000000568,7.141853581047734,7.131140800676162,0.0,-0.0015000000000000568
+1 long,2023-01-26,2023-10-26,189,10.194237420659764,13.117401069535275,0.2867466715020186,7.131140800676162,8.867642549311222,0.3087923284637674,0.24350967077671615
-1 short/cash,2023-10-26,2023-11-02,5,13.117401069535275,13.097724967930972,-0.0014999999999999458,8.867642549311222,8.854341085487256,0.0,-0.0014999999999999458
+1 long,2023-11-02,2024-08-05,188,13.097724967930972,17.67849079737414,0.34973751858883184,8.854341085487256,11.484539846723868,0.4671973147129238,0.297051890800508
-1 short/cash,2024-08-05,2024-08-13,6,17.67849079737414,17.651973061178076,-0.0015000000000000568,11.484539846723868,11.467313036953781,0.0,-0.0015000000000000568
+1 long,2024-08-13,2025-03-06,140,17.651973061178076,18.70240351441525,0.059507821000893246,11.467313036953781,12.044768481350083,0.10509701268698306,0.050356647850759106
-1 short/cash,2025-03-06,2025-05-13,47,18.70240351441525,18.674349909143626,-0.0015000000000000568,12.044768481350083,12.026701328628057,0.0,-0.0015000000000000568
+1 long,2025-05-13,2026-03-19,213,18.674349909143626,23.248193223293885,0.2449265080928329,12.026701328628057,14.527804587080967,0.4452225356468558,0.20796253187890734
-1 short/cash,2026-03-19,2026-04-14,17,23.248193223293885,23.213320933458945,-0.0014999999999999458,14.527804587080967,14.506012880200345,0.0,-0.0015000000000000568
+1 long,2026-04-14,2026-04-20,4,23.213320933458945,24.555894418792146,0.05783633841886271,14.506012880200345,15.344987550247993,0.0,0.05783633841886271
