date,Candidate,Baseline,SPY
1986-01-31,,,
1986-02-28,0.0,0.0,0.07423206508016666
1986-03-31,0.0,0.0,0.055409213231223164
1986-04-30,0.0,0.0,-0.011158764680295863
1986-05-31,0.0,0.0,0.05291055563033509
1986-06-30,0.0,0.0,0.01690570388907231
1986-07-31,0.0,0.0,-0.05585646580907233
1986-08-31,0.09132888499783776,0.09132888499783776,0.07372409639812427
1986-09-30,-0.23831143744992989,-0.23831143744992989,-0.0823735473527738
1986-10-31,0.1791382335990377,0.1791382335990377,0.05780501010907568
1986-11-30,0.06684063684876174,0.06684063684876174,0.023833599839678365
1986-12-31,-0.07857781195479296,-0.07857781195479296,-0.025444118035653274
1987-01-31,0.44926304631701086,0.44926304631701086,0.1346820760875025
1987-02-28,0.1169097535308925,0.1169097535308925,0.039218159169305045
1987-03-31,0.08160234299153002,0.08160234299153002,0.028811569764636058
1987-04-30,-0.039491933026756354,-0.039491933026756354,-0.00891664120073199
1987-05-31,0.017159006637611274,0.017159006637611274,0.008437256172553864
1987-06-30,0.15346002603016085,0.15346002603016085,0.050135107620207675
1987-07-31,0.15588784783405596,0.15588784783405596,0.05062034869926246
1987-08-31,0.10864055497681657,0.10864055497681657,0.03705846915328803
1987-09-30,-0.07173563231605662,-0.07173563231605662,-0.02181947821701724
1987-10-31,-0.21138496987701738,-0.3329484733493665,-0.21513066365394473
1987-11-30,0.0,0.0,-0.0823127493185849
1987-12-31,0.0,0.0,0.07576471071733737
1988-01-31,0.0,0.0,0.0434216139466177
1988-02-29,0.0,0.0,0.04455208027429336
1988-03-31,0.0,0.0,-0.030292541402776152
1988-04-30,0.0,0.0,0.012473549057555822
1988-05-31,0.0,0.0,0.006337700279807956
1988-06-30,-0.0091256893770576,-0.00912568937705771,0.04623525977169507
1988-07-31,-0.014276060109403299,-0.014276060109403188,-0.0026611150828075303
1988-08-31,-0.10663812194758093,-0.10663812194758115,-0.03527611816079412
1988-09-30,0.12828997182367075,0.12828997182367075,0.042528571911054414
1988-10-31,0.08312674214599336,0.08312674214599358,0.0288853081076057
1988-11-30,-0.05168646403537147,-0.05168646403537136,-0.015932881615342565
1988-12-31,0.05119818549709887,0.05119818549709909,0.017677287599884295
1989-01-31,0.23488214485959258,0.23488214485959258,0.07416556055111201
1989-02-28,-0.08039030874306707,-0.08039030874306674,-0.026165254506906432
1989-03-31,0.06780239200868432,0.06780239200868476,0.023729358424585456
1989-04-30,0.16370907649213917,0.16370907649213917,0.0530890026959685
1989-05-31,0.11458749485446651,0.11458749485446584,0.03818873514133325
1989-06-30,-0.019805628225851413,-0.01980562822585208,-0.004955127722386821
1989-07-31,0.2935349114692898,0.2935349114692898,0.09095357248670433
1989-08-31,0.05075646103980924,0.050756461039809686,0.018308547287086974
1989-09-30,-0.014235067261734402,-0.014235067261734402,-0.003973998169584436
1989-10-31,-0.08380299337621055,-0.08380299337621067,-0.022414760285339508
1989-11-30,0.05499990522930309,0.05499990522930287,0.019134821850361083
1989-12-31,0.06937518384069508,0.06937518384069463,0.02382494455942652
1990-01-31,-0.19272885275515172,-0.19272885275515195,-0.0658839478180504
1990-02-28,0.029956363802862374,0.02995636380286193,0.011135972719871656
1990-03-31,0.079761173389576,0.07976117338957578,0.027239441937051412
1990-04-30,-0.07328002916655807,-0.07328002916655829,-0.023866274288573575
1990-05-31,0.30634201125759164,0.3063420112575921,0.09490790161902818
1990-06-30,-0.023531853443082174,-0.023531853443081507,-0.0063019344412347245
1990-07-31,-0.012854364701255006,-0.012854364701255228,-0.0027396486328743475
1990-08-31,-0.26491090560883623,-0.26491090560883634,-0.09122988052242365
1990-09-30,0.0,0.0,-0.04845139442408497
1990-10-31,0.0,0.0,-0.003117218287758461
1990-11-30,0.0,0.0,0.06293715321134496
1990-12-31,0.0,0.0,0.02756607079569795
1991-01-31,0.025334630477818587,0.025334630477818587,0.04483773243916822
1991-02-28,0.21479428381829435,0.21479428381829457,0.06977513057481732
1991-03-31,0.07074634355083709,0.07074634355083709,0.024674547538769298
1991-04-30,0.0022923761068713855,0.0022923761068709414,0.0030883220710895554
1991-05-31,0.12250629950017577,0.12250629950017511,0.04120719050767696
1991-06-30,-0.13357084151387122,-0.1335708415138711,-0.045301663023605054
1991-07-31,0.14519845887186866,0.14519845887186866,0.04765968336643556
1991-08-31,0.061116354854010124,0.0611163548540099,0.022281044430973562
1991-09-30,-0.051337480700367255,-0.0513374807003677,-0.01670377494157027
1991-10-31,0.039915753095533635,0.039915753095533635,0.01455257249707631
1991-11-30,-0.12552495091300364,-0.1255249509130033,-0.0414099030477012
1991-12-31,0.373792088506794,0.3737920885067938,0.11414961355778974
1992-01-31,-0.054488131409983764,-0.05448813140998421,-0.01738761557526658
1992-02-29,0.03220424220859086,0.03220424220859108,0.011772948775232939
1992-03-31,-0.05884846524512044,-0.058848465245120773,-0.01928614316944588
1992-04-30,0.08808913300340371,0.08808913300340415,0.030520924151799633
1992-05-31,0.007458631684901684,0.00745863168490124,0.0034128628577287934
1992-06-30,-0.04584548315062953,-0.045845483150629196,-0.014514010651104248
1992-07-31,0.12734033338039197,0.12734033338039175,0.04197466217828261
1992-08-31,-0.06489019449547728,-0.06489019449547784,-0.02149938177828825
1992-09-30,0.030959700509739285,0.03095970050973862,0.011360283569607388
1992-10-31,0.009887589437483912,0.009887589437483912,0.004511983131870734
1992-11-30,0.09769026761382782,0.09769026761382782,0.03233611323307861
1992-12-31,0.035324886914605225,0.03532488691460545,0.012384482378615225
1993-01-31,0.02630261158837688,0.026302611588377323,0.009296239342708956
1993-02-28,0.028146930540853043,0.028146930540853266,0.010739515111652276
1993-03-31,0.06454600344745232,0.06454600344745232,0.022500080780118115
1993-04-30,-0.07850105963448417,-0.07850105963448417,-0.02551231319111169
1993-05-31,0.07942789061264799,0.07942789061264777,0.0270467469657818
1993-06-30,0.008207897179696166,0.008207897179695944,0.0037500059660855456
