window_start,window_end,strat_cagr,strat_sharpe,strat_mdd,bench_cagr,bench_sharpe,bench_mdd,excess_cagr,strat_beats_bench,window_years,cfg_id,rank
1986-01-03,1990-12-26,0.2141476501078987,0.7211999459691688,0.5189692428026424,0.13133116095848751,0.7266559953203099,0.3288565573843161,0.0828164891494112,True,5,EMA_N150_th5_bL3_sL0,1
1987-01-02,1991-12-24,0.3372918339037194,0.9849126665044798,0.5189692428026424,0.13812892271730326,0.7770002094103399,0.328856557384316,0.19916291118641616,True,5,EMA_N150_th5_bL3_sL0,1
1987-12-31,1992-12-22,0.32248992164185153,0.9859237308402731,0.3385667504013453,0.1597665028455073,1.1097658644211132,0.19183356941998955,0.16272341879634422,True,5,EMA_N150_th5_bL3_sL0,1
1988-12-29,1993-12-21,0.35712608209312147,1.082634386616382,0.3385667504013454,0.14188814149307016,1.1249140197770626,0.19183356941998964,0.2152379406000513,True,5,EMA_N150_th5_bL3_sL0,1
1989-12-28,1994-12-20,0.17274959885754337,0.6638227767746969,0.33856675040134543,0.0861594758495241,0.7489912048937678,0.19183356941998958,0.08659012300801927,True,5,EMA_N150_th5_bL3_sL0,1
1990-12-27,1995-12-19,0.4782985726093181,1.4191670431524928,0.2413608345437584,0.16463347955803043,1.4752054797759762,0.08522360788061661,0.31366509305128765,True,5,EMA_N150_th5_bL3_sL0,1
1991-12-26,1996-12-17,0.47053419126067664,1.4338377351638587,0.24136083454375848,0.15292725034399135,1.4647052524634705,0.08522360788061664,0.3176069409166853,True,5,EMA_N150_th5_bL3_sL0,1
1992-12-23,1997-12-16,0.6231068105498359,1.4444977372310015,0.3167888301034298,0.19901352989005816,1.4690901794494986,0.11198356632803617,0.4240932806597777,True,5,EMA_N150_th5_bL3_sL0,1
1993-12-22,1998-12-16,0.5494760103507652,1.2337956294717916,0.5043873803841483,0.22440696844455887,1.3716142651793786,0.19020871622272723,0.32506904190620634,True,5,EMA_N150_th5_bL3_sL0,1
1994-12-21,1999-12-16,0.7210436795269941,1.3865766009773195,0.5043873803841483,0.2736922813406599,1.5113288230200046,0.19020871622272728,0.4473513981863342,True,5,EMA_N150_th5_bL3_sL0,1
1995-12-20,2000-12-14,0.3861180314004584,0.8657554789914707,0.5043873803841484,0.18942922862489198,0.9703971362558814,0.19020871622272711,0.19668880277556644,True,5,EMA_N150_th5_bL3_sL0,1
1996-12-18,2001-12-20,0.23789887512858732,0.6840974305463439,0.5043873803841483,0.10817681647414967,0.5947752299604295,0.3544624924361658,0.12972205865443764,True,5,EMA_N150_th5_bL3_sL0,1
1997-12-17,2002-12-20,0.06630798551663841,0.3606186580663734,0.5043873803841484,-0.00035264247384625413,0.10732082288912685,0.4737687737760924,0.06666062799048467,True,5,EMA_N150_th5_bL3_sL0,1
1998-12-17,2003-12-22,0.15424133316835387,0.583951807903719,0.3723939956430123,-0.0005397138115567079,0.12056454641120017,0.4737687737760924,0.15478104697991057,True,5,EMA_N150_th5_bL3_sL0,1
1999-12-17,2004-12-22,0.109799025595394,0.48577501762636927,0.3723939956430124,-0.017573962863435155,0.024301372517773208,0.4737687737760924,0.12737298845882916,True,5,EMA_N150_th5_bL3_sL0,1
2000-12-15,2005-12-21,0.19906610537478286,0.8565208901904142,0.2274466595337923,0.009523895832712626,0.11906864949639658,0.4193113902856809,0.18954220954207024,True,5,EMA_N150_th5_bL3_sL0,1
