symbol,status,bars,start,end,duplicate_timestamps,missing_close,caveats
BTCUSD,ok,2987,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,0,0,Dukascopy BID-only; no broker-specific swap/overnight history.
ETHUSD,ok,2982,2018-01-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,0,0,Dukascopy BID-only; no broker-specific swap/overnight history.
