scenario,mustang_month,mustang_age,apos_55_nest,apos_55_renda_mes,apos_60_nest,apos_60_renda_mes
SPLIT 50/50 (Mustang + Apos),89.0,37.666666666666664,6303069.354671678,21010.231182238927,9241458.3839823,30804.861279941004
MUSTANG priority (pós imóvel),63.0,35.5,6011735.511241061,20039.118370803535,8848492.684828142,29494.97561609381
DELAY Mustang (+10y apos),182.0,45.416666666666664,7206368.7145397235,24021.229048465746,10459873.863338016,34866.246211126716
SEM MUSTANG,,,8180596.59284987,27268.655309499565,11948386.3618891,39827.95453963034
