regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
+1 long,2010-04-13,2010-05-20,27,1.0,0.7015385647649763,-0.29846143523502366,1.0,0.7015385647649763,0.0,-0.29846143523502366
-1 short/cash,2010-05-20,2010-09-20,84,0.7015385647649763,0.7004862569178288,-0.0015000000000000568,0.7015385647649763,0.7004862569178288,0.0,-0.0015000000000000568
+1 long,2010-09-20,2011-08-04,221,0.7004862569178288,0.7964092201411598,0.13693768046984434,0.7004862569178288,0.7818631662498536,0.014567905749931047,0.11617202839936769
-1 short/cash,2011-08-04,2012-01-03,104,0.7964092201411598,0.7952146063109481,-0.0014999999999999458,0.7818631662498536,0.7806903715004788,0.0,-0.0015000000000000568
+1 long,2012-01-03,2015-08-21,914,0.7952146063109481,2.9314494979396466,2.6863627436860473,0.7806903715004788,2.5631496152672,0.3152311312835085,2.2831833321331385
-1 short/cash,2015-08-21,2015-10-28,47,2.9314494979396466,2.9270523236927373,-0.0014999999999999458,2.5631496152672,2.5593048908442992,0.0,-0.0014999999999999458
+1 long,2015-10-28,2016-01-06,47,2.9270523236927373,2.521858053514168,-0.1384308257487452,2.5593048908442992,2.2050182014619217,0.0,-0.13843082574874477
-1 short/cash,2016-01-06,2016-03-17,49,2.521858053514168,2.518075266433897,-0.0015000000000000568,2.2050182014619217,2.2017106741597288,0.0,-0.0015000000000000568
+1 long,2016-03-17,2018-10-24,657,2.518075266433897,5.270647810011143,1.0931256028241938,2.2017106741597288,4.246949651003053,0.3620504067020349,0.9289317624005611
-1 short/cash,2018-10-24,2018-11-07,10,5.270647810011143,5.262741838296126,-0.0015000000000000568,4.246949651003053,4.240579226526549,0.0,-0.0014999999999999458
+1 long,2018-11-07,2018-11-20,9,5.262741838296126,4.340419013163687,-0.17525519082483665,4.240579226526549,3.497395704973799,0.0,-0.17525519082483698
-1 short/cash,2018-11-20,2019-02-19,59,4.340419013163687,4.333908384643942,-0.0014999999999999458,3.497395704973799,3.4921496114163384,0.0,-0.0014999999999999458
+1 long,2019-02-19,2020-02-28,259,4.333908384643942,4.96175150279814,0.14486764888219472,3.4921496114163384,3.921378455941919,0.07678583798215656,0.12291250154986777
-1 short/cash,2020-02-28,2020-03-02,1,4.96175150279814,4.954308875543942,-0.0014999999999999458,3.921378455941919,3.9154963882580063,0.0,-0.0014999999999999458
+1 long,2020-03-02,2020-03-09,5,4.954308875543942,3.3378613210893064,-0.32627104911321525,3.9154963882580063,2.637983273862061,0.0,-0.32627104911321525
-1 short/cash,2020-03-09,2020-05-27,55,3.3378613210893064,3.3328545291076725,-0.0014999999999999458,2.637983273862061,2.634026298951268,0.0,-0.0014999999999999458
+1 long,2020-05-27,2022-02-22,439,3.3328545291076725,8.644207501771648,1.5936348035226184,2.634026298951268,6.2014582289262234,0.6311908396871864,1.3543645829942248
-1 short/cash,2022-02-22,2022-03-25,23,8.644207501771648,8.63124119051899,-0.0015000000000000568,6.2014582289262234,6.192156041582834,0.0,-0.0015000000000000568
+1 long,2022-03-25,2022-04-22,19,8.63124119051899,7.121213417729123,-0.1749490877915173,6.192156041582834,5.108843990645183,0.0,-0.17494908779151752
-1 short/cash,2022-04-22,2023-01-23,188,7.121213417729123,7.11053159760253,-0.0014999999999999458,5.108843990645183,5.101180724659216,0.0,-0.0014999999999999458
+1 long,2023-01-23,2023-10-27,193,7.11053159760253,6.9107924280637,-0.028090609935012,5.101180724659216,4.957885446714813,0.0,-0.02809060993501178
-1 short/cash,2023-10-27,2023-11-02,4,6.9107924280637,6.900426239421605,-0.0014999999999999458,4.957885446714813,4.9504486185447405,0.0,-0.0015000000000000568
+1 long,2023-11-02,2025-03-11,337,6.900426239421605,12.333083970500896,0.7872930660490123,4.9504486185447405,8.26217055813591,0.5866118493950904,0.6689741061416572
-1 short/cash,2025-03-11,2025-05-12,43,12.333083970500896,12.314584344545144,-0.0015000000000000568,8.26217055813591,8.249777302298707,0.0,-0.0014999999999999458
+1 long,2025-05-12,2026-03-27,220,12.314584344545144,14.397410051442572,0.1691348768762977,8.249777302298707,9.433947410444679,0.2114721683877734,0.14353964534485275
-1 short/cash,2026-03-27,2026-04-08,7,14.397410051442572,14.375813936365407,-0.0015000000000000568,9.433947410444679,9.419796489329013,0.0,-0.0014999999999999458
+1 long,2026-04-08,2026-04-20,8,14.375813936365407,16.50050780876018,0.1477964226442925,9.419796489329013,10.812008712489108,0.0,0.1477964226442927
