asset,entry_date,entry_price,exit_date,exit_price,hold_days,direction,notional,gross_pnl_pct,gross_pnl_brl,tax_brl,net_pnl_brl,cumulative_equity_brl
LETF_2x,1970-08-21T00:00:00,1.0,1971-06-18T00:00:00,1.7810197970088413,301,long,100000.0,0.7810197970088413,78101.97970088413,11715.296955132619,66386.6827457515,166386.68274575152
LETF_2x,1971-06-29T00:00:00,1.0,1971-07-26T00:00:00,1.0264625375909184,27,long,100000.0,0.026462537590918433,2646.253759091843,396.93806386377645,2249.315695228067,168635.99844097957
LETF_2x,1971-08-16T00:00:00,1.0,1971-09-24T00:00:00,1.0601403442105575,39,long,100000.0,0.06014034421055747,6014.034421055747,902.105163158362,5111.929257897385,173747.92769887697
LETF_2x,1971-09-30T00:00:00,1.0,1971-10-14T00:00:00,1.0080197557435893,14,long,100000.0,0.008019755743589263,801.9755743589263,120.29633615383895,681.6792382050874,174429.60693708205
LETF_2x,1971-12-02T00:00:00,1.0,1972-05-08T00:00:00,1.2733432016263473,158,long,100000.0,0.2733432016263473,27334.32016263473,4100.148024395209,23234.17213823952,197663.77907532157
LETF_2x,1972-05-10T00:00:00,1.0,1972-06-28T00:00:00,1.0394287750626172,49,long,100000.0,0.039428775062617216,3942.8775062617215,591.4316259392582,3351.4458803224634,201015.22495564402
LETF_2x,1972-06-30T00:00:00,1.0,1972-07-11T00:00:00,1.0105498106769726,11,long,100000.0,0.010549810676972582,1054.9810676972581,158.24716015458873,896.7339075426694,201911.95886318668
LETF_2x,1972-07-24T00:00:00,1.0,1972-07-26T00:00:00,1.0143264886498973,2,long,100000.0,0.014326488649897273,1432.6488649897274,214.8973297484591,1217.7515352412684,203129.71039842794
LETF_2x,1972-08-01T00:00:00,1.0,1972-09-11T00:00:00,1.0371636501756147,41,long,100000.0,0.03716365017561474,3716.365017561474,557.4547526342211,3158.9102649272527,206288.6206633552
LETF_2x,1972-09-27T00:00:00,1.0,1972-10-04T00:00:00,1.0334197179313234,7,long,100000.0,0.03341971793132337,3341.9717931323366,501.2957689698505,2840.676024162486,209129.29668751766
LETF_2x,1972-10-06T00:00:00,1.0,1972-10-11T00:00:00,1.0111665113820834,5,long,100000.0,0.011166511382083355,1116.6511382083354,167.4976707312503,949.1534674770851,210078.45015499476
LETF_2x,1972-10-23T00:00:00,1.0,1973-01-29T00:00:00,1.1064539486432214,98,long,100000.0,0.10645394864322144,10645.394864322145,1596.8092296483217,9048.585634673824,219127.0357896686
LETF_2x,1973-01-31T00:00:00,1.0,1973-01-31T00:00:00,1.0027603174603175,0,long,100000.0,0.002760317460317463,276.0317460317463,41.40476190476195,234.62698412698435,219361.66277379557
LETF_2x,1973-02-12T00:00:00,1.0,1973-02-13T00:00:00,1.0321417266540691,1,long,100000.0,0.032141726654069114,3214.172665406911,482.1258998110367,2732.0467655958746,222093.70953939145
LETF_2x,1973-07-23T00:00:00,1.0,1973-07-31T00:00:00,1.02111171019908,8,long,100000.0,0.02111171019908009,2111.171019908009,316.6756529862013,1794.4953669218075,223888.20490631324
LETF_2x,1973-09-06T00:00:00,1.0,1973-09-06T00:00:00,1.0103603174603175,0,long,100000.0,0.010360317460317514,1036.0317460317515,155.40476190476272,880.6269841269888,224768.83189044023
LETF_2x,1973-09-19T00:00:00,1.0,1973-11-02T00:00:00,1.0725804438788165,44,long,100000.0,0.07258044387881646,7258.044387881646,1088.7066581822469,6169.337729699399,230938.1696201396
LETF_2x,1973-11-08T00:00:00,1.0,1973-11-08T00:00:00,1.0221603174603175,0,long,100000.0,0.022160317460317547,2216.0317460317547,332.4047619047632,1883.6269841269914,232821.7966042666
