regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
+1 long,2010-09-16,2011-06-06,181,1.0,1.5271871331210563,0.5271871331210563,1.0,1.4478840631528977,0.07942220327306804,0.44788406315289775
-1 short/cash,2011-06-06,2011-06-29,17,1.5271871331210563,1.5248963524213746,-0.0015000000000000568,1.4478840631528977,1.4457122370581683,0.0,-0.0015000000000000568
+1 long,2011-06-29,2011-08-02,23,1.5248963524213746,1.504542162311405,-0.013347917107709772,1.4457122370581683,1.4264149899563143,0.0,-0.013347917107709661
-1 short/cash,2011-08-02,2011-09-16,32,1.504542162311405,1.502285349067938,-0.0014999999999999458,1.4264149899563143,1.42427536747138,0.0,-0.0014999999999999458
+1 long,2011-09-16,2011-09-21,3,1.502285349067938,1.407146893736021,-0.06332915074419365,1.42427536747138,1.3340772180235432,0.0,-0.06332915074419365
-1 short/cash,2011-09-21,2011-10-10,13,1.407146893736021,1.4050361733954169,-0.0015000000000000568,1.3340772180235432,1.332076102196508,0.0,-0.0014999999999999458
+1 long,2011-10-10,2011-11-17,28,1.4050361733954169,1.3648347119782376,-0.02861240313836777,1.332076102196508,1.2939622037494762,0.0,-0.028612403138367548
-1 short/cash,2011-11-17,2011-11-30,8,1.3648347119782376,1.3627874599102703,-0.0014999999999999458,1.2939622037494762,1.2920212604438521,0.0,-0.0014999999999999458
+1 long,2011-11-30,2011-12-13,9,1.3627874599102703,1.3127078749016865,-0.03674790565792352,1.2920212604438521,1.24454218505703,0.0,-0.03674790565792352
-1 short/cash,2011-12-13,2011-12-20,5,1.3127078749016865,1.310738813089334,-0.0014999999999999458,1.24454218505703,1.2426753717794443,0.0,-0.0015000000000000568
+1 long,2011-12-20,2011-12-21,1,1.310738813089334,1.2542803591968625,-0.04307376368858895,1.2426753717794443,1.1891486664737874,0.0,-0.04307376368858873
-1 short/cash,2011-12-21,2011-12-22,1,1.2542803591968625,1.2523989386580672,-0.0015000000000000568,1.1891486664737874,1.1873649434740767,0.0,-0.0014999999999999458
