regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
+1 long,2009-11-16,2010-01-28,49,1.0,0.9559209434140526,-0.04407905658594735,1.0,0.9559209434140526,0.0,-0.04407905658594735
-1 short/cash,2010-01-28,2010-02-01,2,0.9559209434140526,0.9544870619989315,-0.0015000000000000568,0.9559209434140526,0.9544870619989315,0.0,-0.0015000000000000568
+1 long,2010-02-01,2010-02-04,3,0.9544870619989315,0.908082624428879,-0.04861714675615425,0.9544870619989315,0.908082624428879,0.0,-0.04861714675615425
-1 short/cash,2010-02-04,2010-02-16,7,0.908082624428879,0.9067205004922356,-0.0015000000000000568,0.908082624428879,0.9067205004922356,0.0,-0.0015000000000000568
+1 long,2010-02-16,2010-05-06,56,0.9067205004922356,0.9596287883138572,0.05835126457701034,0.9067205004922356,0.9514885330280032,0.008152484011871797,0.04937357489045868
-1 short/cash,2010-05-06,2010-05-10,2,0.9596287883138572,0.9581893451313864,-0.0015000000000000568,0.9514885330280032,0.9500613002284611,0.0,-0.0015000000000000568
+1 long,2010-05-10,2010-05-14,4,0.9581893451313864,0.9195295174338779,-0.04034675181261538,0.9500613002284611,0.9117294127413726,0.0,-0.04034675181261549
-1 short/cash,2010-05-14,2010-08-02,54,0.9195295174338779,0.9181502231577271,-0.0014999999999999458,0.9117294127413726,0.9103618186222606,0.0,-0.0014999999999999458
+1 long,2010-08-02,2010-08-03,1,0.9181502231577271,0.9084060995173117,-0.010612777075741708,0.9103618186222606,0.9007003515829558,0.0,-0.010612777075741708
-1 short/cash,2010-08-03,2010-08-04,1,0.9084060995173117,0.9070434903680357,-0.0015000000000000568,0.9007003515829558,0.8993493010555814,0.0,-0.0014999999999999458
+1 long,2010-08-04,2010-08-06,2,0.9070434903680357,0.8962499531532058,-0.011899690951368114,0.8993493010555814,0.8886473223156911,0.0,-0.011899690951368114
-1 short/cash,2010-08-06,2010-08-09,1,0.8962499531532058,0.8949055782234759,-0.0015000000000000568,0.8886473223156911,0.8873143513322176,0.0,-0.0014999999999999458
+1 long,2010-08-09,2010-08-10,1,0.8949055782234759,0.8842586534488338,-0.0118972604861598,0.8873143513322176,0.8767577413613103,0.0,-0.011897260486159689
-1 short/cash,2010-08-10,2010-09-03,18,0.8842586534488338,0.8829322654686605,-0.0015000000000000568,0.8767577413613103,0.8754426047492684,0.0,-0.0015000000000000568
+1 long,2010-09-03,2010-09-07,1,0.8829322654686605,0.8620430916649483,-0.023658863336050162,0.8754426047492684,0.8547306278049495,0.0,-0.023658863336050384
-1 short/cash,2010-09-07,2010-09-09,2,0.8620430916649483,0.8607500270274508,-0.0015000000000000568,0.8547306278049495,0.853448531863242,0.0,-0.0015000000000000568
+1 long,2010-09-09,2011-06-03,185,0.8607500270274508,1.200645714972209,0.39488315686560904,0.853448531863242,1.1397170888553787,0.05082012367785763,0.33542568333576894
-1 short/cash,2011-06-03,2011-06-30,19,1.200645714972209,1.1988447463997507,-0.0014999999999999458,1.1397170888553787,1.1380075132220957,0.0,-0.0014999999999999458
+1 long,2011-06-30,2011-07-14,9,1.1988447463997507,1.1775823088824944,-0.01773577236010715,1.1380075132220957,1.1178240710234968,0.0,-0.01773577236010737
-1 short/cash,2011-07-14,2011-07-15,1,1.1775823088824944,1.1758159354191706,-0.0015000000000000568,1.1178240710234968,1.1161473349169615,0.0,-0.0015000000000000568
+1 long,2011-07-15,2011-07-18,1,1.1758159354191706,1.1541870695600596,-0.01839477184105398,1.1161473349169615,1.0956160593501636,0.0,-0.01839477184105387
-1 short/cash,2011-07-18,2011-07-19,1,1.1541870695600596,1.1524557889557194,-0.0015000000000000568,1.0956160593501636,1.0939726352611383,0.0,-0.0015000000000000568
+1 long,2011-07-19,2011-07-27,6,1.1524557889557194,1.114295317941658,-0.033112307977245736,1.0939726352611383,1.0577486764436927,0.0,-0.0331123079772454
-1 short/cash,2011-07-27,2011-10-21,61,1.114295317941658,1.1126238749647455,-0.0014999999999999458,1.0577486764436927,1.0561620534290272,0.0,-0.0014999999999999458
+1 long,2011-10-21,2011-11-01,7,1.1126238749647455,1.0738985672118087,-0.034805389875499304,1.0561620534290272,1.019401921387722,0.0,-0.034805389875499415
-1 short/cash,2011-11-01,2011-11-02,1,1.0738985672118087,1.072287719360991,-0.0014999999999999458,1.019401921387722,1.0178728185056403,0.0,-0.0015000000000000568
+1 long,2011-11-02,2011-11-17,11,1.072287719360991,1.034657984573649,-0.03509294577183697,1.0178728185056403,0.9821526628831948,0.0,-0.03509294577183719
-1 short/cash,2011-11-17,2011-11-30,8,1.034657984573649,1.0331059975967885,-0.0015000000000000568,0.9821526628831948,0.98067943388887,0.0,-0.0014999999999999458
+1 long,2011-11-30,2012-05-14,113,1.0331059975967885,1.1986438617910997,0.1602331847645697,0.98067943388887,1.114025561602604,0.02382700171396519,0.13597320704988358
-1 short/cash,2012-05-14,2012-06-19,25,1.1986438617910997,1.1968458959984132,-0.0014999999999999458,1.114025561602604,1.1123545232602001,0.0,-0.0014999999999999458
+1 long,2012-06-19,2012-06-21,2,1.1968458959984132,1.1371670848233626,-0.049863404615901996,1.1123545232602001,1.0568887395905484,0.0,-0.04986340461590166
-1 short/cash,2012-06-21,2012-06-29,6,1.1371670848233626,1.1354613341961275,-0.0015000000000000568,1.0568887395905484,1.0553034064811626,0.0,-0.0014999999999999458
+1 long,2012-06-29,2012-07-09,5,1.1354613341961275,1.119619951535458,-0.01395149458954037,1.0553034064811626,1.0405803467153172,0.0,-0.01395149458954037
-1 short/cash,2012-07-09,2012-07-13,4,1.119619951535458,1.1179405216081548,-0.0014999999999999458,1.0405803467153172,1.0390194761952443,0.0,-0.0014999999999999458
+1 long,2012-07-13,2012-07-16,1,1.1179405216081548,1.1129628867893224,-0.00445250415618903,1.0390194761952443,1.0343932376591236,0.0,-0.00445250415618903
-1 short/cash,2012-07-16,2012-07-17,1,1.1129628867893224,1.1112934424591385,-0.0014999999999999458,1.0343932376591236,1.032841647802635,0.0,-0.0014999999999999458
+1 long,2012-07-17,2012-07-23,4,1.1112934424591385,1.0895326622122394,-0.019581488934862668,1.032841647802635,1.0126170705047222,0.0,-0.01958148893486289
-1 short/cash,2012-07-23,2012-07-26,3,1.0895326622122394,1.087898363218921,-0.0015000000000000568,1.0126170705047222,1.011098144898965,0.0,-0.0014999999999999458
+1 long,2012-07-26,2012-11-07,71,1.087898363218921,1.1507829721472917,0.05780375359910006,1.011098144898965,1.0605491256437727,0.009007798985918147,0.04890819055923501
-1 short/cash,2012-11-07,2012-11-23,11,1.1507829721472917,1.1490567976890709,-0.0014999999999999458,1.0605491256437727,1.058958301955307,0.0,-0.0014999999999999458
+1 long,2012-11-23,2012-11-27,2,1.1490567976890709,1.133072132224167,-0.013911118664500677,1.058958301955307,1.0442270073560487,0.0,-0.013911118664500677
-1 short/cash,2012-11-27,2012-11-28,1,1.133072132224167,1.1313725240258308,-0.0015000000000000568,1.0442270073560487,1.0426606668450147,0.0,-0.0014999999999999458
+1 long,2012-11-28,2012-12-28,21,1.1313725240258308,1.1227438369056228,-0.007626742683748411,1.0426606668450147,1.0347085622325225,0.0,-0.007626742683748189
-1 short/cash,2012-12-28,2012-12-31,1,1.1227438369056228,1.1210597211502644,-0.0014999999999999458,1.0347085622325225,1.0331564993891738,0.0,-0.0014999999999999458
+1 long,2012-12-31,2013-08-27,165,1.1210597211502644,1.472546575654019,0.31353089213044893,1.0331564993891738,1.3082615462960914,0.04889477421826883,0.2662762583108813
-1 short/cash,2013-08-27,2013-08-28,1,1.472546575654019,1.470337755790538,-0.0015000000000000568,1.3082615462960914,1.3062991539766473,0.0,-0.0014999999999999458
+1 long,2013-08-28,2014-02-03,108,1.470337755790538,1.6725294348451034,0.1375137639350461,1.3062991539766473,1.4586942331322217,0.027279954264315186,0.11666169934478776
-1 short/cash,2014-02-03,2014-02-06,3,1.6725294348451034,1.6700206406928357,-0.0015000000000000568,1.4586942331322217,1.4565061917825233,0.0,-0.0015000000000000568
+1 long,2014-02-06,2014-04-11,45,1.6700206406928357,1.7533127904051071,0.049874922310970016,1.4565061917825233,1.5179251410758827,0.011241045435394248,0.042168683964324716
-1 short/cash,2014-04-11,2014-04-14,1,1.7533127904051071,1.7506828212194994,-0.0015000000000000568,1.5179251410758827,1.515648253364269,0.0,-0.0014999999999999458
+1 long,2014-04-14,2014-10-01,118,1.7506828212194994,1.9935811230048512,0.13874489361593922,1.515648253364269,1.6940524198286409,0.031932187489072124,0.11770815957354874
