asset,entry_date,entry_price,exit_date,exit_price,hold_days,direction,notional,gross_pnl_pct,gross_pnl_brl,tax_brl,net_pnl_brl,cumulative_equity_brl
LETF_2_5x,1970-08-21T00:00:00,1.0,1971-06-18T00:00:00,2.0517094981045467,301,long,100000.0,1.0517094981045467,105170.94981045467,15775.642471568199,89395.30733888647,189395.3073388865
LETF_2_5x,1971-06-29T00:00:00,1.0,1971-07-26T00:00:00,1.0330819939899967,27,long,100000.0,0.03308199398999667,3308.199398999667,496.22990984995005,2811.969489149717,192207.2768280362
LETF_2_5x,1971-08-16T00:00:00,1.0,1971-09-24T00:00:00,1.074589753713742,39,long,100000.0,0.0745897537137421,7458.97537137421,1118.8463057061315,6340.1290656680785,198547.40589370427
LETF_2_5x,1971-09-30T00:00:00,1.0,1971-10-14T00:00:00,1.0099628395586977,14,long,100000.0,0.0099628395586977,996.28395586977,149.4425933804655,846.8413624893045,199394.24725619357
LETF_2_5x,1971-12-02T00:00:00,1.0,1972-05-08T00:00:00,1.3517597977255564,158,long,100000.0,0.35175979772555643,35175.97977255564,5276.396965883346,29899.582806672297,229293.83006286586
LETF_2_5x,1972-05-10T00:00:00,1.0,1972-06-28T00:00:00,1.0493870119626298,49,long,100000.0,0.049387011962629845,4938.701196262985,740.8051794394477,4197.896016823537,233491.7260796894
LETF_2_5x,1972-06-30T00:00:00,1.0,1972-07-11T00:00:00,1.0131396106543864,11,long,100000.0,0.013139610654386402,1313.9610654386402,197.09415981579602,1116.8669056228441,234608.59298531225
LETF_2_5x,1972-07-24T00:00:00,1.0,1972-07-26T00:00:00,1.0178900419898906,2,long,100000.0,0.017890041989890637,1789.0041989890638,268.3506298483596,1520.6535691407041,236129.24655445296
LETF_2_5x,1972-08-01T00:00:00,1.0,1972-09-11T00:00:00,1.0465253211554488,41,long,100000.0,0.04652532115544883,4652.532115544883,697.8798173317324,3954.6522982131505,240083.8988526661
LETF_2_5x,1972-09-27T00:00:00,1.0,1972-10-04T00:00:00,1.0418532550059731,7,long,100000.0,0.041853255005973145,4185.325500597314,627.7988250895971,3557.5266755077173,243641.42552817383
LETF_2_5x,1972-10-06T00:00:00,1.0,1972-10-11T00:00:00,1.013974574528337,5,long,100000.0,0.013974574528337058,1397.4574528337057,209.61861792505584,1187.83883490865,244829.26436308248
LETF_2_5x,1972-10-23T00:00:00,1.0,1973-01-29T00:00:00,1.1342980614063416,98,long,100000.0,0.1342980614063416,13429.80614063416,2014.470921095124,11415.335219539036,256244.5995826215
LETF_2_5x,1973-01-31T00:00:00,1.0,1973-01-31T00:00:00,1.0034603174603174,0,long,100000.0,0.003460317460317386,346.0317460317386,51.90476190476078,294.1269841269778,256538.7265667485
LETF_2_5x,1973-02-12T00:00:00,1.0,1973-02-13T00:00:00,1.0402664866937517,1,long,100000.0,0.04026648669375166,4026.648669375166,603.9973004062748,3422.651368968891,259961.37793571738
