window_start,window_end,strat_cagr,strat_sharpe,strat_mdd,bench_cagr,bench_sharpe,bench_mdd,excess_cagr,strat_beats_bench,window_years,cfg_id,rank
2010-02-12,2013-02-13,0.0664207768633398,0.3806480446786838,0.37262370836054143,0.1692522948338273,0.8998142336764396,0.16092243186503496,-0.10283151797048751,False,3,SMA_N150_th0_bL2_sL0,1
2010-08-13,2013-08-14,0.15628967367432112,0.6690301934067793,0.37262370836054143,0.21018069548161078,1.1347584666971475,0.16092243186503502,-0.05389102180728966,False,3,SMA_N150_th0_bL2_sL0,1
2011-02-11,2014-02-13,0.12301953628152718,0.575805694401184,0.3726237083605415,0.1660166202132931,0.9632809937247421,0.16092243186503496,-0.042997083931765934,False,3,SMA_N150_th0_bL2_sL0,1
2011-08-12,2014-08-14,0.22092641346296826,0.8783414035452112,0.37262370836054143,0.23440783827154754,1.4006952101671541,0.11637888959980666,-0.013481424808579279,False,3,SMA_N150_th0_bL2_sL0,1
2012-02-13,2015-02-13,0.2394561399434978,0.9502321770976244,0.37262370836054143,0.20846874672030702,1.436857783236581,0.11637888959980673,0.030987393223190773,True,3,SMA_N150_th0_bL2_sL0,1
2012-08-13,2015-08-14,0.28298040610081143,1.094743013501565,0.2793300493247147,0.1975009680441675,1.419011909176831,0.11637888959980656,0.08547943805664393,True,3,SMA_N150_th0_bL2_sL0,1
2013-02-14,2016-02-16,0.3218323412296691,1.2012958549208843,0.15267178503671378,0.152676390260007,0.9860967026702501,0.16099148511968944,0.16915595096966207,True,3,SMA_N150_th0_bL2_sL0,1
2013-08-15,2016-08-15,0.2570018813367929,0.9831669792553028,0.2181691446530544,0.1741613800274977,1.0484903843327693,0.16099148511968944,0.08284050130929521,True,3,SMA_N150_th0_bL2_sL0,1
2014-02-14,2017-02-14,0.18689941569567914,0.8208112881863749,0.2181691446530544,0.14090177667713055,0.9199800271368759,0.16099148511968947,0.045997639018548586,True,3,SMA_N150_th0_bL2_sL0,1
2014-08-15,2017-08-15,0.21621516443967237,0.9418465912381352,0.21816914465305431,0.15178075867197283,0.9982726438263714,0.16099148511968941,0.06443440576769954,True,3,SMA_N150_th0_bL2_sL0,1
2015-02-17,2018-02-14,0.2416040038721181,1.0198245838842475,0.21816914465305445,0.16176407874555898,1.0463360576337393,0.16099148511968944,0.07983992512655913,True,3,SMA_N150_th0_bL2_sL0,1
2015-08-17,2018-08-15,0.28516228936761,1.108832652220201,0.21803574010034357,0.18353014149945834,1.1298576348904072,0.16099148511968941,0.10163214786815167,True,3,SMA_N150_th0_bL2_sL0,1
2016-02-17,2019-02-15,0.23513999784603712,0.9562806357017299,0.24049797404343032,0.19989815086267715,1.2088513717514708,0.227917493700466,0.03524184698335997,True,3,SMA_N150_th0_bL2_sL0,1
