regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
+1 long,2010-09-16,2011-06-08,183,1.0,1.1602839987485174,0.1602839987485174,1.0,1.1360163989362397,0.02430405589612178,0.13601639893623974
-1 short/cash,2011-06-08,2011-06-23,11,1.1602839987485174,1.1585435727503945,-0.0015000000000000568,1.1360163989362397,1.1343123743378354,0.0,-0.0014999999999999458
+1 long,2011-06-23,2011-06-24,1,1.1585435727503945,1.1367382921373848,-0.018821286592824338,1.1343123743378354,1.1129631560546358,0.0,-0.01882128659282445
-1 short/cash,2011-06-24,2011-06-28,2,1.1367382921373848,1.1350331846991786,-0.0015000000000000568,1.1129631560546358,1.1112937113205539,0.0,-0.0014999999999999458
+1 long,2011-06-28,2011-08-04,26,1.1350331846991786,1.0949263508772193,-0.03533538434172645,1.1112937113205539,1.0720257209144988,0.0,-0.03533538434172623
-1 short/cash,2011-08-04,2011-09-14,28,1.0949263508772193,1.0932839613509036,-0.0014999999999999458,1.0720257209144988,1.070417682333127,0.0,-0.0014999999999999458
+1 long,2011-09-14,2011-09-22,6,1.0932839613509036,1.0584922533536634,-0.031823121190079684,1.070417682333127,1.0363536507042357,0.0,-0.031823121190079684
-1 short/cash,2011-09-22,2011-09-27,3,1.0584922533536634,1.056904514973633,-0.0014999999999999458,1.0363536507042357,1.0347991202281794,0.0,-0.0014999999999999458
+1 long,2011-09-27,2011-09-28,1,1.056904514973633,1.0396848003020402,-0.016292592592455968,1.0347991202281794,1.0179395597472698,0.0,-0.016292592592455968
-1 short/cash,2011-09-28,2011-10-10,8,1.0396848003020402,1.038125273101587,-0.0015000000000000568,1.0179395597472698,1.016412650407649,0.0,-0.0014999999999999458
+1 long,2011-10-10,2011-11-18,29,1.038125273101587,1.0265618863008066,-0.011138720056619755,1.016412650407649,1.005091114432751,0.0,-0.011138720056619977
-1 short/cash,2011-11-18,2011-11-30,7,1.0265618863008066,1.0250220434713553,-0.0015000000000000568,1.005091114432751,1.003583477761102,0.0,-0.0014999999999999458
+1 long,2011-11-30,2011-12-14,10,1.0250220434713553,0.9962593505250675,-0.028060560384515765,1.003583477761102,0.975422362982484,0.0,-0.028060560384515987
-1 short/cash,2011-12-14,2011-12-20,4,0.9962593505250675,0.99476496149928,-0.0014999999999999458,0.975422362982484,0.9739592294380103,0.0,-0.0014999999999999458
+1 long,2011-12-20,2011-12-21,1,0.99476496149928,0.9790654432135139,-0.015782138387850142,0.9739592294380103,0.9585880700948957,0.0,-0.015782138387850142
-1 short/cash,2011-12-21,2011-12-22,1,0.9790654432135139,0.9775968450486936,-0.0014999999999999458,0.9585880700948957,0.9571501879897533,0.0,-0.0015000000000000568
+1 long,2011-12-22,2012-05-17,100,0.9775968450486936,1.0834784954960164,0.1083080934473033,0.9571501879897533,1.0450518744007682,0.01578910925676742,0.09183687943020691
-1 short/cash,2012-05-17,2012-05-21,2,1.0834784954960164,1.0818532777527723,-0.0015000000000000568,1.0450518744007682,1.043484296589167,0.0,-0.0014999999999999458
+1 long,2012-05-21,2012-06-01,8,1.0818532777527723,1.0439232785757644,-0.03506020636716667,1.043484296589167,1.0068995218098533,0.0,-0.03506020636716645
-1 short/cash,2012-06-01,2012-06-06,3,1.0439232785757644,1.0423573936579007,-0.0015000000000000568,1.0068995218098533,1.0053891725271384,0.0,-0.0015000000000000568
+1 long,2012-06-06,2012-06-11,3,1.0423573936579007,1.0288909847554664,-0.012919185861173021,1.0053891725271384,0.9924003629444494,0.0,-0.012919185861173021
-1 short/cash,2012-06-11,2012-06-12,1,1.0288909847554664,1.0273476482783332,-0.0014999999999999458,0.9924003629444494,0.9909117624000328,0.0,-0.0015000000000000568
+1 long,2012-06-12,2012-10-24,94,1.0273476482783332,1.073988918800645,0.04539969561469759,0.9909117624000328,1.0289278357883802,0.006981491242501547,0.03836474127249323
-1 short/cash,2012-10-24,2012-11-01,4,1.073988918800645,1.072377935422444,-0.0015000000000000568,1.0289278357883802,1.0273844440346975,0.0,-0.0015000000000000568
+1 long,2012-11-01,2012-11-02,1,1.072377935422444,1.0593436716219855,-0.012154543067247947,1.0273844440346975,1.0148970555630572,0.0,-0.012154543067247947
-1 short/cash,2012-11-02,2012-11-05,1,1.0593436716219855,1.0577546561145525,-0.0014999999999999458,1.0148970555630572,1.0133747099797126,0.0,-0.0015000000000000568
+1 long,2012-11-05,2012-11-07,2,1.0577546561145525,1.0331448492139472,-0.023266082317240255,1.0133747099797126,0.9897974505591152,0.0,-0.023266082317240255
-1 short/cash,2012-11-07,2012-11-26,12,1.0331448492139472,1.0315951319401262,-0.0015000000000000568,0.9897974505591152,0.9883127543832765,0.0,-0.0015000000000000568
+1 long,2012-11-26,2012-11-27,1,1.0315951319401262,1.0265553020228726,-0.004885472760786658,0.9883127543832765,0.9834843793425989,0.0,-0.004885472760786658
-1 short/cash,2012-11-27,2012-11-28,1,1.0265553020228726,1.0250154690698383,-0.0014999999999999458,0.9834843793425989,0.982009152773585,0.0,-0.0014999999999999458
+1 long,2012-11-28,2012-12-05,5,1.0250154690698383,1.0138430069616446,-0.010899798535072058,0.982009152773585,0.971305450848756,0.0,-0.01089979853507228
-1 short/cash,2012-12-05,2012-12-06,1,1.0138430069616446,1.0123222424512022,-0.0015000000000000568,0.971305450848756,0.9698484926724829,0.0,-0.0014999999999999458
