asset,entry_date,entry_price,exit_date,exit_price,hold_days,direction,notional,gross_pnl_pct,gross_pnl_brl,tax_brl,net_pnl_brl,cumulative_equity_brl
LETF_2x,1970-08-21T00:00:00,1.0,1971-06-18T00:00:00,1.7810197970088413,301,long,33333.333333333336,0.7810197970088413,26033.993233628044,3905.0989850442065,22128.894248583838,122128.89424858383
LETF_2x,1971-06-29T00:00:00,1.0,1971-07-26T00:00:00,1.0264625375909184,27,long,33333.333333333336,0.026462537590918433,882.0845863639479,132.31268795459218,749.7718984093557,122878.66614699319
LETF_2x,1971-08-16T00:00:00,1.0,1971-09-24T00:00:00,1.0601403442105575,39,long,33333.333333333336,0.06014034421055747,2004.678140351916,300.7017210527874,1703.9764192991286,124582.64256629231
LETF_2x,1971-09-30T00:00:00,1.0,1971-10-14T00:00:00,1.0080197557435893,14,long,33333.333333333336,0.008019755743589263,267.32519145297545,40.09877871794632,227.22641273502913,124809.86897902735
LETF_2x,1971-12-02T00:00:00,1.0,1972-05-08T00:00:00,1.2733432016263473,158,long,33333.333333333336,0.2733432016263473,9111.440054211576,1366.7160081317363,7744.72404607984,132554.5930251072
LETF_2x,1972-05-10T00:00:00,1.0,1972-06-28T00:00:00,1.0394287750626172,49,long,33333.333333333336,0.039428775062617216,1314.2925020872406,197.14387531308608,1117.1486267741545,133671.74165188134
LETF_2x,1972-06-30T00:00:00,1.0,1972-07-11T00:00:00,1.0105498106769726,11,long,33333.333333333336,0.010549810676972582,351.6603558990861,52.74905338486291,298.91130251422317,133970.65295439557
LETF_2x,1972-07-24T00:00:00,1.0,1972-07-26T00:00:00,1.0143264886498973,2,long,33333.333333333336,0.014326488649897273,477.5496216632425,71.63244324948637,405.9171784137561,134376.5701328093
LETF_2x,1972-08-01T00:00:00,1.0,1972-09-11T00:00:00,1.0371636501756147,41,long,33333.333333333336,0.03716365017561474,1238.788339187158,185.8182508780737,1052.9700883090843,135429.5402211184
LETF_2x,1972-09-27T00:00:00,1.0,1972-10-04T00:00:00,1.0334197179313234,7,long,33333.333333333336,0.03341971793132337,1113.990597710779,167.09858965661684,946.8920080541621,136376.43222917255
LETF_2x,1972-10-06T00:00:00,1.0,1972-10-11T00:00:00,1.0111665113820834,5,long,33333.333333333336,0.011166511382083355,372.2170460694452,55.83255691041678,316.3844891590284,136692.8167183316
LETF_2x,1972-10-23T00:00:00,1.0,1973-01-29T00:00:00,1.1064539486432214,98,long,33333.333333333336,0.10645394864322144,3548.4649547740482,532.2697432161073,3016.195211557941,139709.01192988953
LETF_2x,1973-01-31T00:00:00,1.0,1973-01-31T00:00:00,1.0027603174603175,0,long,33333.333333333336,0.002760317460317463,92.0105820105821,13.801587301587315,78.20899470899478,139787.2209245985
LETF_2x,1973-02-12T00:00:00,1.0,1973-02-13T00:00:00,1.0321417266540691,1,long,33333.333333333336,0.032141726654069114,1071.3908884689706,160.7086332703456,910.6822551986251,140697.90317979714
LETF_2x,1973-07-23T00:00:00,1.0,1973-07-31T00:00:00,1.02111171019908,8,long,33333.333333333336,0.02111171019908009,703.7236733026698,105.55855099540047,598.1651223072694,141296.0683021044
LETF_2x,1973-09-06T00:00:00,1.0,1973-09-06T00:00:00,1.0103603174603175,0,long,33333.333333333336,0.010360317460317514,345.34391534391716,51.801587301587574,293.5423280423296,141589.61063014672
