regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
-1 short/cash,1986-08-06,1986-08-12,4,1.0,0.9985,-0.0014999999999999458,1.0,0.9985,0.0,-0.0014999999999999458
+1 long,1986-08-12,1987-10-16,299,0.9985,1.380651198504809,0.3827252864344608,0.9985,1.3231038562290878,0.05763379296516911,0.32509149346929167
-1 short/cash,1987-10-16,1988-06-01,157,1.380651198504809,1.378580221707052,-0.0014999999999999458,1.3231038562290878,1.321119200444744,0.0,-0.0015000000000000568
+1 long,1988-06-01,1990-08-21,562,1.378580221707052,2.1908724748992774,0.5892237828469566,1.321119200444744,1.982491573570774,0.11723833725765656,0.5006152154199139
-1 short/cash,1990-08-21,1991-01-30,112,2.1908724748992774,2.1875861661869287,-0.0014999999999999458,1.982491573570774,1.9795178362104178,0.0,-0.0015000000000000568
+1 long,1991-01-30,1998-08-28,1916,2.1875861661869287,23.390362917214883,9.692316160503724,1.9795178362104178,18.287268251518757,2.8826863280914297,8.238243736428181
-1 short/cash,1998-08-28,1998-11-06,49,23.390362917214883,23.355277372839062,-0.0014999999999999458,18.287268251518757,18.259837349141478,0.0,-0.0015000000000000568
+1 long,1998-11-06,1999-10-15,236,23.355277372839062,27.420610890760205,0.17406487848647467,18.259837349141478,20.957365799694827,0.481590304264113,0.1477301467135017
-1 short/cash,1999-10-15,1999-11-15,21,27.420610890760205,27.379479974424065,-0.0014999999999999458,20.957365799694827,20.925929750995284,0.0,-0.0015000000000000568
+1 long,1999-11-15,2000-10-10,228,27.379479974424065,25.63398994632983,-0.06375175970196456,20.925929750995284,19.59186490596964,0.0,-0.06375175970196467
-1 short/cash,2000-10-10,2002-03-19,357,25.63398994632983,25.595538961410334,-0.0015000000000000568,19.59186490596964,19.562477108610686,0.0,-0.0014999999999999458
+1 long,2002-03-19,2002-05-06,33,25.595538961410334,20.511256104360037,-0.1986394138726958,19.562477108610686,15.676598121858229,0.0,-0.1986394138726959
-1 short/cash,2002-05-06,2003-04-23,243,20.511256104360037,20.480489220203495,-0.0015000000000000568,15.676598121858229,15.653083224675441,0.0,-0.0014999999999999458
+1 long,2003-04-23,2007-11-21,1155,20.480489220203495,51.24585467496272,1.5021792264810725,15.653083224675441,35.63623726386375,3.535886240659575,1.2766273425089163
-1 short/cash,2007-11-21,2009-05-04,363,51.24585467496272,51.168985892950275,-0.0015000000000000568,35.63623726386375,35.58278290796795,0.0,-0.0014999999999999458
+1 long,2009-05-04,2010-06-07,275,51.168985892950275,68.27742251472885,0.3343516843888765,35.58278290796795,45.68736567225807,1.7952735465525456,0.28397393173054564
-1 short/cash,2010-06-07,2010-10-13,90,68.27742251472885,68.17500638095676,-0.0015000000000000568,45.68736567225807,45.61883462374968,0.0,-0.0015000000000000568
+1 long,2010-10-13,2011-08-04,204,68.17500638095676,71.28714543484702,0.04564926677820691,45.61883462374968,47.37866678503225,0.3231188688712244,0.0385768767614767
-1 short/cash,2011-08-04,2012-01-10,109,71.28714543484702,71.18021471669475,-0.0014999999999999458,47.37866678503225,47.307598784854704,0.0,-0.0014999999999999458
+1 long,2012-01-10,2015-08-24,910,71.18021471669475,162.61828667097606,1.284599552252197,47.307598784854704,98.95257675970633,9.14005232078039,1.091684619414366
-1 short/cash,2015-08-24,2016-04-18,163,162.61828667097606,162.3743592409696,-0.0015000000000000568,98.95257675970633,98.80414789456677,0.0,-0.0015000000000000568
+1 long,2016-04-18,2018-12-07,666,162.3743592409696,267.6124371755225,0.648120050644053,98.80414789456677,153.21332389796947,9.642236688900036,0.5506770430474475
-1 short/cash,2018-12-07,2019-04-01,77,267.6124371755225,267.2110185197592,-0.0014999999999999458,153.21332389796947,152.98350391212253,0.0,-0.0014999999999999458
+1 long,2019-04-01,2020-03-09,236,267.2110185197592,243.41861246903056,-0.08903976408805636,152.98350391212253,139.36188881442266,0.0,-0.08903976408805792
-1 short/cash,2020-03-09,2020-06-05,62,243.41861246903056,243.05348455032703,-0.0014999999999999458,139.36188881442266,139.152845981201,0.0,-0.0015000000000000568
+1 long,2020-06-05,2022-02-23,433,243.05348455032703,421.97543622564706,0.7361423022029219,139.152845981201,226.19238852974138,15.419883675662698,0.6254959568724816
-1 short/cash,2022-02-23,2023-02-01,236,421.97543622564706,421.3424730713086,-0.0015000000000000568,226.19238852974138,225.85309994694677,0.0,-0.0014999999999999458
+1 long,2023-02-01,2025-04-03,544,421.3424730713086,722.1683979421548,0.7139700934444699,225.85309994694677,362.8667880422271,24.27508340367034,0.6066495794278008
-1 short/cash,2025-04-03,2025-06-26,57,722.1683979421548,721.0851453452416,-0.0014999999999999458,362.8667880422271,362.32248786016373,0.0,-0.0015000000000000568
+1 long,2025-06-26,2026-03-27,189,721.0851453452416,774.0504120082767,0.07345216720235781,362.32248786016373,384.8623314659524,4.079647825428543,0.06220934212200424
-1 short/cash,2026-03-27,2026-04-17,14,774.0504120082767,772.8893363902642,-0.0015000000000000568,384.8623314659524,384.2850379687535,0.0,-0.0014999999999999458
