regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
+1 long,2010-11-26,2011-06-15,138,1.0,1.0433582635550256,0.04335826355502559,1.0,1.0366295240217718,0.006738847804961278,0.036629524021771775
-1 short/cash,2011-06-15,2011-06-21,4,1.0433582635550256,1.041793226159693,-0.0015000000000000568,1.0366295240217718,1.035074579735739,0.0,-0.0015000000000000568
+1 long,2011-06-21,2011-06-24,3,1.041793226159693,0.989910258182084,-0.049801598508047884,1.035074579735739,0.9835262110898534,0.0,-0.049801598508047884
-1 short/cash,2011-06-24,2011-06-27,1,0.989910258182084,0.9884253927948109,-0.0014999999999999458,0.9835262110898534,0.9820509217732186,0.0,-0.0014999999999999458
+1 long,2011-06-27,2011-08-04,27,0.9884253927948109,0.9144509628471266,-0.07484068143830136,0.9820509217732186,0.9085535615805999,0.0,-0.07484068143830047
-1 short/cash,2011-08-04,2011-09-15,29,0.9144509628471266,0.9130792864028558,-0.0015000000000000568,0.9085535615805999,0.9071907312382289,0.0,-0.0015000000000000568
+1 long,2011-09-15,2011-09-21,4,0.9130792864028558,0.8776036128479253,-0.03885278538591053,0.9071907312382289,0.8719438444533427,0.0,-0.03885278538591053
-1 short/cash,2011-09-21,2011-10-11,14,0.8776036128479253,0.8762872074286534,-0.0015000000000000568,0.8719438444533427,0.8706359286866627,0.0,-0.0014999999999999458
+1 long,2011-10-11,2011-11-17,27,0.8762872074286534,0.833417022305129,-0.0489225276371672,0.8706359286866627,0.8280422184035787,0.0,-0.0489225276371672
-1 short/cash,2011-11-17,2011-11-30,8,0.833417022305129,0.8321668967716713,-0.0015000000000000568,0.8280422184035787,0.8268001550759734,0.0,-0.0014999999999999458
+1 long,2011-11-30,2011-12-08,6,0.8321668967716713,0.8189245135959926,-0.01591313380411019,0.8268001550759734,0.8136431735789905,0.0,-0.01591313380410997
