regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
-1 short/cash,1986-10-16,1986-10-30,10,1.0,0.9985,-0.0014999999999999458,1.0,0.9985,0.0,-0.0014999999999999458
+1 long,1986-10-30,1987-10-19,244,0.9985,0.8091235568534907,-0.18966093454833188,0.9985,0.8091235568534907,0.0,-0.18966093454833188
-1 short/cash,1987-10-19,1988-06-22,171,0.8091235568534907,0.8079098715182105,-0.0014999999999999458,0.8091235568534907,0.8079098715182105,0.0,-0.0014999999999999458
+1 long,1988-06-22,1990-08-21,547,0.8079098715182105,1.1993463497591308,0.4845051311297133,0.8079098715182105,1.1404490983019013,0.0589857300523081,0.4116043614602565
-1 short/cash,1990-08-21,1991-01-30,112,1.1993463497591308,1.1975473302344921,-0.0014999999999999458,1.1404490983019013,1.1387384246544485,0.0,-0.0014999999999999458
+1 long,1991-01-30,1998-08-31,1917,1.1975473302344921,10.977155908339364,8.16636497881877,1.1387384246544485,9.04293276097224,1.397255137521831,6.94118523199595
-1 short/cash,1998-08-31,1998-10-30,43,10.977155908339364,10.960690174476856,-0.0014999999999999458,9.04293276097224,9.029368361830782,0.0,-0.0014999999999999458
+1 long,1998-10-30,2000-10-12,492,10.960690174476856,15.200709986446455,0.3868387614716946,9.029368361830782,11.996309976817308,0.5267581962701594,0.3285879472509363
-1 short/cash,2000-10-12,2003-05-27,654,15.200709986446455,15.177908921466786,-0.0014999999999999458,11.996309976817308,11.978315511852083,0.0,-0.0014999999999999458
+1 long,2003-05-27,2008-01-15,1168,15.177908921466786,33.930246391157176,1.2355020422588074,11.978315511852083,24.5549686769185,2.225918991133912,1.0499517359199881
-1 short/cash,2008-01-15,2009-07-23,383,33.930246391157176,33.87935102157044,-0.0014999999999999458,24.5549686769185,24.51813622390312,0.0,-0.0015000000000000568
+1 long,2009-07-23,2010-06-30,236,33.87935102157044,37.76631420007963,0.11472956421256164,24.51813622390312,26.903631464884466,0.4281019962856993,0.09729512958067699
-1 short/cash,2010-06-30,2010-09-20,56,37.76631420007963,37.70966472877951,-0.0014999999999999458,26.903631464884466,26.863276017687138,0.0,-0.0015000000000000568
+1 long,2010-09-20,2011-08-04,221,37.70966472877951,41.96602924104526,0.11287197971339569,26.863276017687138,29.434526254431322,0.4615532388177646,0.09571618275638594
-1 short/cash,2011-08-04,2012-01-10,109,41.96602924104526,41.9030801971837,-0.0014999999999999458,29.434526254431322,29.390374465049675,0.0,-0.0015000000000000568
+1 long,2012-01-10,2015-08-24,910,41.9030801971837,95.73175825647363,1.2845995522521934,29.390374465049675,61.47539422737311,5.678359655486937,1.0916846194143655
-1 short/cash,2015-08-24,2016-04-19,164,95.73175825647363,95.58816061908891,-0.0015000000000000568,61.47539422737311,61.38318113603205,0.0,-0.0014999999999999458
+1 long,2016-04-19,2018-12-17,671,95.58816061908891,146.81449665391366,0.5359067033307352,61.38318113603205,89.33067942645603,4.95559334215347,0.4552956978311238
-1 short/cash,2018-12-17,2019-03-18,61,146.81449665391366,146.5942749089328,-0.0015000000000000568,89.33067942645603,89.19668340731634,0.0,-0.0015000000000000568
+1 long,2019-03-18,2020-03-09,246,146.5942749089328,136.72337336152881,-0.06733483659942363,89.19668340731634,83.1906393048741,0.0,-0.06733483659942452
-1 short/cash,2020-03-09,2020-06-02,59,136.72337336152881,136.51828830148654,-0.0014999999999999458,83.1906393048741,83.06585334591678,0.0,-0.0015000000000000568
+1 long,2020-06-02,2022-04-29,482,136.51828830148654,241.1169868172825,0.7661881775487878,83.06585334591678,137.14462710181033,9.579670541561596,0.651034950916469
-1 short/cash,2022-04-29,2023-02-02,191,241.1169868172825,240.75531133705658,-0.0015000000000000568,137.14462710181033,136.93891016115762,0.0,-0.0014999999999999458
+1 long,2023-02-02,2025-04-04,544,240.75531133705658,354.02344208785456,0.4704699145441613,136.93891016115762,191.66989066346838,9.709220690014874,0.39967442736253833
-1 short/cash,2025-04-04,2025-05-15,28,354.02344208785456,353.4924069247228,-0.0014999999999999458,191.66989066346838,191.38238582747317,0.0,-0.0015000000000000568
+1 long,2025-05-15,2026-04-17,231,353.4924069247228,512.3533293905298,0.4494040589099184,191.38238582747317,277.3904068222036,0.0,0.4494040589099182
