asset,entry_date,entry_price,exit_date,exit_price,hold_days,direction,notional,gross_pnl_pct,gross_pnl_brl,tax_brl,net_pnl_brl,cumulative_equity_brl
LETF_2x,2001-05-16T00:00:00,1.0,2001-05-29T00:00:00,1.0158760850011506,13,long,50000.0,0.015876085001150564,793.8042500575282,119.07063750862922,674.7336125488989,100674.7336125489
LETF_2x,2001-06-01T00:00:00,1.0,2001-06-08T00:00:00,1.0161353344552309,7,long,50000.0,0.016135334455230854,806.7667227615427,121.0150084142314,685.7517143473113,101360.4853268962
LETF_2x,2001-11-13T00:00:00,1.0,2001-11-27T00:00:00,1.0601430127149558,14,long,50000.0,0.06014301271495581,3007.1506357477906,451.07259536216856,2556.078040385622,103916.56336728182
LETF_2x,2001-11-29T00:00:00,1.0,2001-11-30T00:00:00,1.012256201256824,1,long,50000.0,0.012256201256823918,612.8100628411959,91.92150942617938,520.8885534150165,104437.45192069684
LETF_2x,2001-12-04T00:00:00,1.0,2001-12-12T00:00:00,1.014806577128156,8,long,50000.0,0.014806577128156029,740.3288564078015,111.04932846117022,629.2795279466312,105066.73144864348
QQQ,2001-10-25T00:00:00,31.0820084071,2001-12-19T00:00:00,34.2155478416,55,long,50000.0,0.10081521739065656,5040.760869532828,756.1141304299242,4284.646739102904,109351.37818774638
LETF_2x,2001-12-17T00:00:00,1.0,2002-01-15T00:00:00,1.0410001482126794,29,long,50000.0,0.04100014821267939,2050.0074106339694,307.5011115950954,1742.506299038874,111093.88448678525
LETF_2x,2002-03-01T00:00:00,1.0,2002-04-02T00:00:00,1.0539565771630854,32,long,50000.0,0.05395657716308544,2697.828858154272,404.6743287231408,2293.1545294311313,113387.03901621638
QQQ,2002-08-19T00:00:00,21.3688807799,2002-08-30T00:00:00,19.8401189533,11,long,50000.0,-0.07154150197880202,-3577.075098940101,0.0,-3577.075098940101,109809.96391727628
LETF_2x,2002-11-05T00:00:00,1.0,2002-11-06T00:00:00,1.0420419341754052,1,long,50000.0,0.04204193417540525,2102.0967087702625,315.31450631553935,1786.7822024547231,111596.746119731
LETF_2x,2002-11-15T00:00:00,1.0,2002-11-15T00:00:00,1.0147293900442789,0,long,50000.0,0.014729390044278867,736.4695022139433,110.4704253320915,625.9990768818518,112222.74519661286
QQQ,2002-10-15T00:00:00,19.8992423389,2002-12-06T00:00:00,22.3570859385,52,long,50000.0,0.12351443124019296,6175.721562009648,926.358234301447,5249.363327708201,117472.10852432105
LETF_2x,2002-11-20T00:00:00,1.0,2002-12-06T00:00:00,1.0343576793298024,16,long,50000.0,0.03435767932980238,1717.883966490119,257.68259497351784,1460.2013715166013,118932.30989583765
LETF_2x,2002-12-16T00:00:00,1.0,2002-12-16T00:00:00,1.0516730128581318,0,long,50000.0,0.05167301285813175,2583.6506429065876,387.5475964359881,2196.1030464705996,121128.41294230825
LETF_2x,2003-01-02T00:00:00,1.0,2003-01-16T00:00:00,1.0852502606734642,14,long,50000.0,0.0852502606734642,4262.51303367321,639.3769550509815,3623.1360786222285,124751.54902093048
QQQ,2003-01-10T00:00:00,22.8891964085,2003-01-17T00:00:00,21.3773269778,7,long,50000.0,-0.0660516605178223,-3302.5830258911146,0.0,-3302.5830258911146,121448.96599503937
LETF_2x,2003-03-19T00:00:00,1.0,2003-03-21T00:00:00,1.0629799465059957,2,long,50000.0,0.0629799465059957,3148.9973252997847,472.3495987949677,2676.647726504817,124125.61372154418
LETF_2x,2003-03-25T00:00:00,1.0,2003-03-27T00:00:00,1.0104034531297217,2,long,50000.0,0.010403453129721685,520.1726564860843,78.02589847291264,442.1467580131716,124567.76047955736
QQQ,2003-03-13T00:00:00,21.6391591139,2003-03-28T00:00:00,22.0276842189,15,long,50000.0,0.017954722868617788,897.7361434308895,134.6604215146334,763.075721916256,125330.83620147362
LETF_2x,2003-04-02T00:00:00,1.0,2003-04-08T00:00:00,1.0497423955501408,6,long,50000.0,0.04974239555014082,2487.119777507041,373.06796662605615,2114.0518108809847,127444.88801235461
