period,symbol,side,volume,entry_time,exit_time,entry_price,exit_price,pnl
train,SPY,long,442.7905747109875,2019-12-02T15:00:00,2019-12-04T17:00:00,283.0982369536256,283.27091878937586,76.46188929400951
train,SPY,long,699.1055473050493,2019-12-31T15:00:00,2019-12-31T20:00:00,292.6443678516632,294.0097523564248,954.5478814831972
train,SPY,long,603.9421148717169,2020-01-23T15:00:00,2020-01-23T19:00:00,301.63124646492173,302.93726642599796,788.7604573570563
train,SPY,long,552.8995504929809,2020-01-24T18:00:00,2020-01-29T15:00:00,299.9690392417736,299.4073593284184,-310.5525716150222
train,SPY,long,253.61302679945962,2020-01-31T17:00:00,2020-02-04T15:00:00,294.7038608671772,300.4393890878918,1454.6046723491556
train,SPY,long,506.75943255604244,2020-02-18T16:00:00,2020-02-19T15:00:00,306.1840503153194,309.06551393568526,1460.208869187492
train,SPY,long,333.0721058096761,2020-02-21T15:00:00,2020-02-24T15:00:00,304.9054293743701,296.608092768531,-2763.6113759185464
train,SPY,long,171.03856795543444,2020-02-24T16:00:00,2020-02-25T18:00:00,295.45733392170837,287.7810417727991,-1312.9420163569882
train,SPY,long,155.17639400888652,2020-02-27T20:00:00,2020-02-28T15:00:00,271.72064945426035,264.8389288901296,-1067.8805817186137
train,SPY,long,132.27682488140692,2020-02-28T16:00:00,2020-03-02T16:00:00,266.4372050662718,277.27351754051347,1433.3930075154683
train,SPY,long,112.709014717886,2020-03-06T15:00:00,2020-03-06T19:00:00,271.31879715854876,265.78419508573614,-623.7995464822798
train,SPY,long,70.63911513795253,2020-03-09T14:00:00,2020-03-10T19:00:00,254.5094982889417,263.40504683497915,628.3736779587854
train,SPY,long,68.44285970536853,2020-03-12T14:00:00,2020-03-12T18:00:00,235.39411522224324,230.1883013913796,-356.30078567806675
train,SPY,long,83.21287296427347,2020-03-23T14:00:00,2020-03-24T14:00:00,205.36287851009266,218.23223042872,1070.895746337265
train,SPY,long,98.44427127890525,2020-04-01T14:00:00,2020-04-06T14:00:00,229.93456507230525,238.3196301388472,825.4616201019279
train,SPY,long,137.7701990592665,2020-04-21T14:00:00,2020-04-22T18:00:00,251.9241110495927,257.30433636085746,741.234712116649
train,SPY,long,177.45067877201637,2020-05-01T15:00:00,2020-05-05T14:00:00,259.7808021530853,264.60049160780443,855.2571652102407
train,SPY,long,235.7485695402889,2020-05-12T19:00:00,2020-05-13T17:00:00,263.3599614335879,258.03946535296336,-1254.2993402519483
train,SPY,long,247.84426842538218,2020-05-13T18:00:00,2020-05-15T17:00:00,257.01947387637136,261.8988925616804,1209.335954401554
train,SPY,long,139.82808511276684,2020-06-11T14:00:00,2020-06-11T18:00:00,284.01708611266514,277.31362861560325,-937.331625448985
train,SPY,long,213.63035386728384,2020-06-19T17:00:00,2020-06-22T16:00:00,284.18521588138617,286.5757313380922,510.6866629413262
train,SPY,long,198.20796747871762,2020-06-24T14:00:00,2020-06-26T19:00:00,282.8561262065656,277.15211635229076,-1130.5801996943903
train,SPY,long,224.09248070856216,2020-07-09T14:00:00,2020-07-10T14:00:00,287.9325103810932,290.8168195712225,646.3520015465725
train,SPY,long,356.4386080864298,2020-07-23T18:00:00,2020-07-27T19:00:00,298.0852787303,298.28833409726684,72.37677236614347
train,SPY,long,220.56199393974626,2020-09-03T16:00:00,2020-09-04T14:00:00,319.0507453712364,312.35914805016245,-1475.9120477779395
train,SPY,long,213.12922706681735,2020-09-17T15:00:00,2020-09-21T14:00:00,309.3502367030403,299.03312576450907,-2198.8778798917706
train,SPY,long,159.13340023996983,2020-09-21T15:00:00,2020-09-22T17:00:00,299.87643847197677,304.9733834071464,811.094178369436
train,SPY,long,254.1993983917374,2020-10-15T14:00:00,2020-10-16T14:00:00,319.54137874933537,324.2491024349788,1196.7005286850924
train,SPY,long,275.7275263754559,2020-10-19T18:00:00,2020-10-22T17:00:00,317.224585596986,319.0919208778282,514.8757379002404
train,SPY,long,208.15359331870968,2020-10-26T14:00:00,2020-10-28T14:00:00,314.75488409654315,304.50075760413085,-2134.433275740196
train,SPY,long,140.58069773694962,2020-10-28T15:00:00,2020-11-02T15:00:00,305.52014659117987,306.0113067395095,69.04763635276457
train,SPY,long,227.71496555805652,2020-11-18T20:00:00,2020-11-23T19:00:00,330.20326083663343,331.4218940347621,277.50101673977144
train,SPY,long,313.44973331248633,2020-11-30T16:00:00,2020-12-01T15:00:00,333.9379313982649,339.4518991009623,1728.3517059041674
train,SPY,long,383.6912252565388,2020-12-09T18:00:00,2020-12-14T15:00:00,339.2202197857324,341.0690207213228,709.3686962321011
train,SPY,long,226.12481952128942,2020-12-21T15:00:00,2020-12-23T15:00:00,338.1777677937335,343.22672515136753,1141.6945712656832
train,SPY,long,295.3236417808086,2021-01-04T15:00:00,2021-01-05T18:00:00,344.3342383782504,345.17650684066103,248.74178967622922
train,SPY,long,305.68407615224345,2021-01-15T15:00:00,2021-01-19T17:00:00,349.2854739806369,352.46375773665403,971.5507337077853
train,SPY,long,286.5414918425663,2021-01-27T15:00:00,2021-01-28T17:00:00,353.44562870674696,355.0464041270851,458.68857704860534
train,SPY,long,183.22108960006406,2021-01-29T17:00:00,2021-02-01T17:00:00,343.6641463418346,350.3511064552402,1225.1921180903375
train,SPY,long,339.237835103213,2021-02-18T15:00:00,2021-02-19T15:00:00,362.0311829232588,364.8325399088181,950.3262791323882
train,SPY,long,346.38804145798684,2021-02-22T15:00:00,2021-02-24T15:00:00,360.40248700144025,361.4355455575545,357.8391299638377
train,SPY,long,179.75425875875177,2021-03-04T17:00:00,2021-03-05T19:00:00,350.66288538881264,356.54015095820927,1056.463515955224
train,SPY,long,242.9648008971884,2021-03-18T19:00:00,2021-03-22T16:00:00,364.2973969631046,367.09859421220887,680.592331902376
train,SPY,long,292.7873746554418,2021-03-24T19:00:00,2021-03-26T14:00:00,361.8229817047604,365.5812720309034,1100.379957784344
train,SPY,long,354.98717617378514,2021-04-20T14:00:00,2021-04-21T15:00:00,385.0076646357168,387.3980306567635,848.5492838331355
train,SPY,long,271.5539709145492,2021-05-04T14:00:00,2021-05-05T15:00:00,385.88537715909655,389.8864390341992,1086.5042400589405
train,SPY,long,213.2720995171371,2021-05-11T14:00:00,2021-05-14T14:00:00,384.564139690362,387.7575192966909,681.0587731969619
train,SPY,long,206.03502976524837,2021-05-19T14:00:00,2021-05-20T14:00:00,380.0868720845751,386.54366155159096,1330.3248100245592
train,SPY,long,581.3564291468181,2021-06-03T18:00:00,2021-06-04T14:00:00,391.0069231065953,393.7754525020575,1609.5023633338844
train,SPY,long,631.2284253307403,2021-06-16T18:00:00,2021-06-21T14:00:00,393.714759614824,393.49328023567153,-139.80407974564352
train,SPY,long,243.2234693413317,2021-07-08T14:00:00,2021-07-09T14:00:00,401.05352253436365,406.6604680309205,1363.740736080319
