period,symbol,side,volume,entry_time,exit_time,entry_price,exit_price,pnl
train,XLK,long,1535.919891986116,2021-01-12T16:00:00,2021-01-13T15:00:00,61.852184150798635,62.41176941546232,859.4781392592637
train,XLK,long,1562.100891397551,2021-01-15T15:00:00,2021-01-18T15:00:00,61.338230302508165,127.54,103413.84345654739
train,XLK,long,3056.649152409138,2021-01-27T16:00:00,2021-01-28T17:00:00,63.487710181937516,64.34990378727865,2635.423352978554
train,XLK,long,3118.1419741465597,2021-01-29T15:00:00,2021-01-29T17:00:00,63.03860097811795,61.71769155500134,-4118.783116265621
train,XLK,long,3111.6707923467675,2021-01-29T18:00:00,2021-02-01T16:00:00,61.91222548822397,63.28356963478076,4267.1715270964805
train,XLK,long,3068.933122646993,2021-02-22T15:00:00,2021-02-23T17:00:00,64.09532851663296,62.48622067387443,-4938.244356552712
train,XLK,long,3067.4612969828013,2021-02-25T17:00:00,2021-03-01T15:00:00,62.59669673478092,64.26824756835344,5127.4174879230595
train,XLK,long,3141.9023706142216,2021-03-03T17:00:00,2021-03-04T17:00:00,62.66394303268804,60.97317897103968,-5312.215613442309
train,XLK,long,3195.3441214738536,2021-03-04T18:00:00,2021-03-08T15:00:00,60.03653410737552,61.837774229806506,5755.582036572685
train,XLK,long,3146.453275951282,2021-03-18T18:00:00,2021-03-22T14:00:00,62.707172795616586,63.33282673545054,1968.5908886023667
train,XLK,long,3194.055229555683,2021-03-24T19:00:00,2021-03-26T15:00:00,62.35814232939546,62.979052395434465,1983.2210435156392
train,XLK,long,2960.5594808356805,2021-04-20T14:00:00,2021-04-21T15:00:00,67.91264012948315,68.29529400731813,1132.8695659028967
train,XLK,long,2993.8057565235413,2021-04-22T17:00:00,2021-04-23T14:00:00,67.51795311071022,68.41081215912727,2673.0465589150995
train,XLK,long,3004.960332771122,2021-04-28T15:00:00,2021-05-04T14:00:00,68.1123902669798,65.56136441424968,-7665.731495327638
train,XLK,long,3027.0295350970623,2021-05-04T15:00:00,2021-05-06T19:00:00,65.20999670246344,66.33629868272249,3409.3493596824333
train,XLK,long,3075.5629607565484,2021-05-10T19:00:00,2021-05-12T14:00:00,65.23406298412583,63.57830280801549,-5092.394669540683
train,XLK,long,3090.681976336964,2021-05-12T15:00:00,2021-05-14T14:00:00,63.34967313253811,65.14261111394612,5541.401103827713
train,XLK,long,3143.2127556311107,2021-05-19T14:00:00,2021-05-20T14:00:00,63.96576994223874,65.65522291266737,5310.310126690148
train,XLK,long,3094.477341234135,2021-05-27T17:00:00,2021-05-28T14:00:00,66.6034344088517,66.73098570142011,394.70458469807863
train,XLK,long,3039.4823166743536,2021-06-16T18:00:00,2021-06-17T14:00:00,67.93189315473502,68.81031243426288,2669.9398667507608
train,XLK,long,2867.3836683992095,2021-07-16T15:00:00,2021-07-19T16:00:00,72.89370904875436,71.24218458300695,-4735.554281045865
train,XLK,long,2875.572999361637,2021-07-19T17:00:00,2021-07-20T16:00:00,71.12163535192805,72.73940603301256,4652.017689685497
