window,n_windows,win_rate_vs_spy,median_excess_pp,mean_excess_pp,worst_excess_pp,worst_window_end,best_excess_pp,best_window_end,pct_windows_cand_above_10pp,pct_windows_cand_below_0pp
1y,9898,0.7108506769044252,0.13591828739662326,0.16156061795452295,-0.3729944587211528,2023-10-03,1.3584482265872635,1987-09-28,0.5682966255809254,0.28914932309557484
3y,9394,0.827123695976155,0.12190862547688203,0.13097391671846936,-0.0952729175016438,2018-05-03,0.5099957734223894,1997-12-05,0.5570576964019587,0.17287630402384502
5y,8890,0.9034870641169854,0.1366813548167395,0.12729134260255895,-0.1223993571274089,2020-06-11,0.3352985418679808,1997-10-03,0.5995500562429696,0.09651293588301463
10y,7630,0.9591087811271297,0.14707276084467613,0.1279880745601701,-0.031239308668796317,2025-05-23,0.2774111911190158,1996-09-16,0.7001310615989516,0.04089121887287025
