start_year,n_bars,cand_cagr,cand_mdd,base_cagr,base_mdd,spy_cagr,spy_mdd,cand_minus_spy_cagr
1986,10150,0.24010376933890631,0.44549427919215323,0.27670974350973787,0.5398373914171773,0.11472198803680911,0.5514127052677141,0.1253817813020972
1987,9898,0.24644704745822144,0.4454942791921532,0.28419114914341814,0.5398373914171773,0.1124297509647505,0.5514127052677141,0.13401729649347094
1988,9645,0.23534232753923967,0.44549427919215323,0.2793308134627053,0.5398373914171773,0.11356649132209262,0.5514127052677142,0.12177583621714705
1989,9392,0.24122368735740407,0.4454942791921533,0.28663384469189035,0.5398373914171773,0.11355537199031773,0.5514127052677142,0.12766831536708634
1990,9140,0.22016332264920124,0.4454942791921532,0.26605675432611786,0.5398373914171773,0.10766007390879229,0.5514127052677141,0.11250324874040896
1991,8887,0.2380546077713035,0.4454942791921533,0.2859721391845478,0.5398373914171773,0.11284576542799285,0.5514127052677141,0.12520884234331064
1992,8634,0.2231706267475002,0.4454942791921532,0.27192678225189115,0.5398373914171773,0.10736028017764387,0.5514127052677142,0.11581034656985634
1993,8380,0.224111958639988,0.4454942791921533,0.2744147508870203,0.5398373914171773,0.10839649379062677,0.5514127052677141,0.11571546484936124
1994,8127,0.22273509565432348,0.4454942791921532,0.2745784179824191,0.5398373914171773,0.10881991786849032,0.5514127052677141,0.11391517778583315
1995,7875,0.2308514368340424,0.4454942791921532,0.28474514974234544,0.5398373914171773,0.1120491421785581,0.5514127052677141,0.11880229465548431
1996,7623,0.20083127688081293,0.44549427919215323,0.2551876942082347,0.5398373914171773,0.10388635929306367,0.5514127052677141,0.09694491758774926
1997,7369,0.19414802685926857,0.4454942791921533,0.24244523537674123,0.5398373914171773,0.10024400056864424,0.5514127052677141,0.09390402629062433
1998,7116,0.18321336956149814,0.44549427919215323,0.21953922335769516,0.5398373914171773,0.09261692462423099,0.5514127052677141,0.09059644493726715
1999,6864,0.18493709709331418,0.4454942791921532,0.22137486146148766,0.5398373914171773,0.08632985119975345,0.5514127052677142,0.09860724589356074
2000,6612,0.18062067192344045,0.4454942791921533,0.21075374659865176,0.5398373914171775,0.0823563304490107,0.5514127052677141,0.09826434147442975
2001,6360,0.19442629089035934,0.44549427919215323,0.23441737124070405,0.5398373914171775,0.09049285463126866,0.5514127052677142,0.10393343625909068
2002,6112,0.20306939266195734,0.44549427919215323,0.24501271678051184,0.5398373914171775,0.09863439078098524,0.5514127052677141,0.1044350018809721
2003,5860,0.21267392803423912,0.44549427919215323,0.25680321689795704,0.5398373914171775,0.11363637113222214,0.5514127052677141,0.09903755690201699
2004,5608,0.1961839061379269,0.44549427919215323,0.2413069101875167,0.5398373914171775,0.10817319368185152,0.5514127052677141,0.08801071245607539
2005,5356,0.19243399654126714,0.44549427919215323,0.23944028587140842,0.5398373914171773,0.10840095540262995,0.5514127052677141,0.08403304113863719
2006,5104,0.19290092723488317,0.4454942791921532,0.24226869710337895,0.5398373914171773,0.1101912205807849,0.5514127052677141,0.08270970665409827
2007,4853,0.18246474515740108,0.4454942791921532,0.23378800523285048,0.5398373914171773,0.10876612653702233,0.5514127052677141,0.07369861862037874
2008,4602,0.1901728386947279,0.39754209751992975,0.2448774002929941,0.5398373914171775,0.1123452457893297,0.5182901944275526,0.0778275929053982
2009,4349,0.2113611977830807,0.39754209751992986,0.27050106164019305,0.5398373914171773,0.14680652532137262,0.33694113826202565,0.0645546724617081
2010,4097,0.18682717807645255,0.3975420975199298,0.24827358641259467,0.5398373914171775,0.14081815570986844,0.3369411382620256,0.04600902236658411
2011,3845,0.19336867577739003,0.3975420975199298,0.26515853247924026,0.5398373914171773,0.14059909213421662,0.33694113826202576,0.05276958364317341
2012,3593,0.22319585149262666,0.39754209751992986,0.30271633380109453,0.5398373914171773,0.14914344511793365,0.33694113826202565,0.07405240637469301
2013,3343,0.20694784166352842,0.39754209751992986,0.2913597333588722,0.5398373914171773,0.14733663331778502,0.33694113826202565,0.059611208345743405
2014,3091,0.16176088255940746,0.3975420975199299,0.24617858759031175,0.5398373914171775,0.1372276540327182,0.3369411382620256,0.024533228526689266
2015,2839,0.14622049712667007,0.39754209751992986,0.2306149322144826,0.5398373914171773,0.13644587810226505,0.3369411382620256,0.009774619024405018
2016,2587,0.18261196419158932,0.39754209751992986,0.28756782224457367,0.5398373914171773,0.15071645369890585,0.33694113826202565,0.031895510492683465
2017,2335,0.2103227860661827,0.39754209751992986,0.2909055980104813,0.5398373914171773,0.15126335839316507,0.3369411382620257,0.05905942767301764
2018,2084,0.18900563067532938,0.39754209751992986,0.24297003663697025,0.5398373914171775,0.14341510437944893,0.33694113826202565,0.04559052629588045
2019,1833,0.22641377565299936,0.3975420975199299,0.3049679919217494,0.5398373914171775,0.17293081164276947,0.3369411382620256,0.053482964010229894
2020,1581,0.20906062227231348,0.39754209751992986,0.2782872250355324,0.5398373914171775,0.15043371547921325,0.33694113826202565,0.05862690679310023
