date,Candidate,Baseline 3x,SPY
1986,-0.03649045358369318,-0.03649045358369318,0.18744484811867568
1987,0.850838499478827,0.5655352732353907,0.0514737141613828
1988,0.06301121961274814,0.0630112196127477,0.16445567186226495
1989,1.1350876639334482,1.1350876639334486,0.3149039217321308
1990,-0.2298937133550253,-0.22989371335502606,-0.032438804932095056
1991,0.8723771613535325,0.8723771613535316,0.30315391471262987
1992,0.1983713918646579,0.19837139186465658,0.07557431034113149
1993,0.2781905880766855,0.2781905880766864,0.0975116250902659
1994,-0.02762059836331965,-0.027620598363319315,0.004968183162726403
1995,1.5531294729203209,1.553129472920319,0.3815540961069932
1996,0.4552839745309907,0.7356099312499671,0.226710265681495
1997,0.5431211279008406,1.0867024521525641,0.33604575820083626
1998,0.15050101781480518,0.19687598818759855,0.28808828979951095
1999,0.31999126138523515,0.5715184074911379,0.20501278156832625
2000,-0.13336089338776747,-0.27892862484429215,-0.09643869852157594
2001,0.0,0.0,-0.11670379808504239
2002,0.0,0.0,-0.21513460516145566
2003,0.6467541081595467,0.6586316866565705,0.28297542441357204
2004,0.29499257847486215,0.29828465227502066,0.10807410485018698
2005,0.1089124811654234,0.10830306370111797,0.049248852735430004
2006,0.4930309754060369,0.49885990556813464,0.15957252391777588
2007,0.07177571161901275,0.06949875120701776,0.05234635427693446
2008,-0.14437818167661076,-0.14638369979791632,-0.36746770423804465
2009,0.6081969775445684,0.6107344023193435,0.2648544558226291
2010,0.11254828645453574,0.03654638704284707,0.15166375422693923
2011,-0.13507640172191893,-0.14038696419026941,0.019842199423763862
2012,0.35587246193767386,0.3558363472267281,0.16100391195652142
2013,1.1257305995617695,1.2158675571455642,0.32431662910898984
2014,0.31970677497605426,0.3966161584757322,0.13569347720188563
2015,-0.1692692851521056,-0.2276971440187724,0.013480100251982652
2016,-0.060959271108589896,0.22889031573736673,0.1210715567970011
2017,0.40715060413074,0.765721999689362,0.21814849380816947
2018,-0.04038209423390615,-0.10952366342509423,-0.04467165322210065
2019,0.3150509714788643,0.44491977519927284,0.3134566029171548
2020,0.1021301002140873,0.006937204167717592,0.1848551642463354
2021,0.4814280194492484,1.0139375160349187,0.28865834306946914
2022,-0.17708967056578917,-0.3126494022621672,-0.18094556994959
2023,0.14085120261794182,0.47523980071452554,0.26307802461447727
2024,0.7441995950708002,0.8439813673744003,0.2500312149614341
2025,0.1296390495052513,0.13243594632694977,0.17825399519566787
2026,0.11020624429049475,0.11606478362320605,0.04455427212569374
