strategy,% days >5% below peak,% days >20% below peak,% days >40% below peak
Candidate,0.6264039408866995,0.21566502463054188,0.0020689655172413794
Baseline 3x,0.6660098522167488,0.3636453201970443,0.04817733990147783
SPY,0.43596059113300495,0.15320197044334977,0.02354679802955665
