window,end_date,cand_cagr,spy_cagr,excess_pp
3y,2018-05-03,0.0028621151878065465,0.09813503268945034,-0.0952729175016438
3y,2018-04-25,0.003798989493074778,0.09896923829079363,-0.09517024879771885
3y,2018-04-24,0.004091137255766597,0.09891400498532121,-0.09482286772955462
3y,2018-03-23,0.002011330216759255,0.09606744200390005,-0.0940561117871408
3y,2020-06-11,0.001137426046544654,0.09511317567080635,-0.0939757496242617
3y,2018-05-02,0.00611649880355758,0.09998491749586269,-0.09386841869230511
3y,2020-06-26,0.0012221698785397361,0.09444947707316742,-0.09322730719462768
3y,2018-04-30,0.009304551431944308,0.1020684018947704,-0.09276385046282609
3y,2018-05-29,0.012242795336754764,0.10500050221871482,-0.09275770688196006
3y,2018-04-27,0.010634854433501317,0.10339061588585219,-0.09275576145235087
5y,2020-06-11,-0.0261755741422669,0.096223782985142,-0.1223993571274089
5y,2020-06-26,-0.02435721951138692,0.09689242497397133,-0.12124964448535824
5y,2020-06-12,-0.021072813950881564,0.09811949180018287,-0.11919230575106443
5y,2020-06-24,-0.02153408816886193,0.09751786655986905,-0.11905195472873098
5y,2020-06-29,-0.01702881330025907,0.10002455469597127,-0.11705336799623034
5y,2020-06-15,-0.012552702101846558,0.10195908386419572,-0.11451178596604228
5y,2020-06-25,-0.012980369080153431,0.10146553819587956,-0.11444590727603299
5y,2020-06-19,-0.012761597616472886,0.10117174148359376,-0.11393333910006664
5y,2020-06-02,-0.01145841537563752,0.10098255595268335,-0.11244097132832087
5y,2020-06-22,-0.007704587999491808,0.10348505070414182,-0.11118963870363363
