regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
-1 short/cash,2010-01-29,2010-03-01,20,1.0,0.9985,-0.0014999999999999458,1.0,0.9985,0.0,-0.0014999999999999458
+1 long,2010-03-01,2010-06-07,68,0.9985,0.8109950447597482,-0.1877866351930415,0.9985,0.8109950447597482,0.0,-0.1877866351930415
-1 short/cash,2010-06-07,2010-10-05,84,0.8109950447597482,0.8097785521926085,-0.0015000000000000568,0.8109950447597482,0.8097785521926085,0.0,-0.0015000000000000568
+1 long,2010-10-05,2011-08-04,210,0.8097785521926085,0.8825713472032057,0.08989222400803132,0.8097785521926085,0.8714702277773728,0.011117796120012935,0.07618339040682653
-1 short/cash,2011-08-04,2012-01-12,111,0.8825713472032057,0.8812474901824009,-0.0015000000000000568,0.8714702277773728,0.8701630224357068,0.0,-0.0015000000000000568
+1 long,2012-01-12,2015-08-24,908,0.8812474901824009,2.750553326582602,2.121204153458969,0.8701630224357068,2.4388916405261307,0.2774810208178286,1.8027985304401186
-1 short/cash,2015-08-24,2016-04-19,164,2.750553326582602,2.746427496592728,-0.0014999999999999458,2.4388916405261307,2.4352333030653415,0.0,-0.0015000000000000568
+1 long,2016-04-19,2018-12-14,670,2.746427496592728,4.85273721419751,0.7669271153955133,2.4352333030653415,4.022184860141894,0.28111657021375885,0.6516630480861865
-1 short/cash,2018-12-14,2019-03-21,65,4.85273721419751,4.845458108376214,-0.0014999999999999458,4.022184860141894,4.016151582851681,0.0,-0.0014999999999999458
+1 long,2019-03-21,2020-03-09,243,4.845458108376214,3.8809566208537105,-0.199052693460541,4.016151582851681,3.2167257929392403,0.0,-0.19905269346054066
-1 short/cash,2020-03-09,2020-06-02,59,3.8809566208537105,3.87513518592243,-0.0014999999999999458,3.2167257929392403,3.2119007042498313,0.0,-0.0015000000000000568
+1 long,2020-06-02,2022-02-23,436,3.87513518592243,9.07486192834648,1.341818154193327,3.2119007042498313,6.874496699855826,0.6481629232075824,1.140320431064331
-1 short/cash,2022-02-23,2023-02-02,237,9.07486192834648,9.061249635453962,-0.0014999999999999458,6.874496699855826,6.864184954806043,0.0,-0.0014999999999999458
+1 long,2023-02-02,2025-04-03,543,9.061249635453962,14.463379260233973,0.5961793176564845,6.864184954806043,10.34108285042175,0.6163116745202362,0.5065274200080103
-1 short/cash,2025-04-03,2025-05-16,30,14.463379260233973,14.441684191343622,-0.0014999999999999458,10.34108285042175,10.325571226146117,0.0,-0.0014999999999999458
+1 long,2025-05-16,2026-04-20,231,14.441684191343622,22.059257183261966,0.5274712347251254,10.325571226146117,15.772013030043633,0.0,0.5274712347251251
