config_id,sma_months,signal_lag_days,weighting,commission_bps,spread_bps,slippage_bps,tax_rate,is_sharpe,is_cagr,oos_sharpe,oos_cagr,oos_mdd,fwd_sharpe,fwd_cagr,median_hold_days
sma6m_lag0_equal,6,0,equal,0.0,2.0,1.0,0.15,0.5927236665309857,0.05762655919022519,0.35312833382296077,0.031120298097111698,-0.201954651306697,1.6333282052176201,0.18281894318419223,105.0
sma6m_lag0_inv_vol,6,0,inv_vol,0.0,2.0,1.0,0.15,0.6436322402573237,0.05475719314823846,0.279174460798561,0.02221120213326855,-0.19817346083036647,1.611697984996879,0.13877061932152124,105.0
sma6m_lag1_equal,6,1,equal,0.0,2.0,1.0,0.15,0.5298836330856574,0.050821403909661944,0.3416584724374134,0.029949436976674626,-0.19103079677377055,1.6643533178857894,0.18620062829141126,105.0
sma6m_lag1_inv_vol,6,1,inv_vol,0.0,2.0,1.0,0.15,0.567801453829939,0.0478117257647952,0.2860040588665837,0.02294227590865816,-0.18748260734169941,1.6981938080611623,0.1461549952654626,105.0
sma8m_lag0_equal,8,0,equal,0.0,2.0,1.0,0.15,0.5415767100138946,0.04998553697497288,0.3900058127349127,0.0361912031033047,-0.2296781784408135,1.6329451045790768,0.17863118109105947,147.0
sma8m_lag0_inv_vol,8,0,inv_vol,0.0,2.0,1.0,0.15,0.6584238976836836,0.052197603576121576,0.2934857425560323,0.024520941819397235,-0.23563963970169843,1.5816145877886298,0.12869813181427547,147.0
sma8m_lag1_equal,8,1,equal,0.0,2.0,1.0,0.15,0.535788126270772,0.04938859819991248,0.4144443409791586,0.03893752646365245,-0.20707688232721022,1.607496532147125,0.1756097198333859,147.0
sma8m_lag1_inv_vol,8,1,inv_vol,0.0,2.0,1.0,0.15,0.6647073888463585,0.05280480800883791,0.343043667128052,0.029683637644914995,-0.2098665761744486,1.5513203493511212,0.1261597088591535,147.0
sma10m_lag0_equal,10,0,equal,0.0,2.0,1.0,0.15,0.5088489990482287,0.046564368295951786,0.15268938008255092,0.010561211876053633,-0.23081505905687383,1.5978715646631458,0.17445315512236892,168.0
sma10m_lag0_inv_vol,10,0,inv_vol,0.0,2.0,1.0,0.15,0.6436368826500326,0.04988303128617155,0.11524438619189574,0.0064879586066159955,-0.23765947367528562,1.5400293660381161,0.12555165824634473,168.0
sma10m_lag1_equal,10,1,equal,0.0,2.0,1.0,0.15,0.5153161240003472,0.047170797196341985,0.19592323272168427,0.015191624256100988,-0.20627919553545104,1.5761151774395874,0.17190010740192152,168.0
sma10m_lag1_inv_vol,10,1,inv_vol,0.0,2.0,1.0,0.15,0.6668269252216161,0.051742659857340056,0.17558193621788518,0.012441072520672725,-0.20895531097627273,1.513929679131743,0.12339163579073964,168.0
sma12m_lag0_equal,12,0,equal,0.0,2.0,1.0,0.15,0.4523963271134316,0.04012726025046254,0.3178957243373735,0.026980090665512213,-0.1667901962410797,1.5681202794188416,0.17753905116106217,178.5
sma12m_lag0_inv_vol,12,0,inv_vol,0.0,2.0,1.0,0.15,0.6019248390186261,0.04569530725746396,0.2596391719480695,0.019562190073158847,-0.14740265176442768,1.5772928922573088,0.1309358002679002,178.5
sma12m_lag1_equal,12,1,equal,0.0,2.0,1.0,0.15,0.45102445867727314,0.04001090705703647,0.33473754077197726,0.02879745505444098,-0.14941242335577065,1.5446658391530994,0.17492992454601586,178.5
sma12m_lag1_inv_vol,12,1,inv_vol,0.0,2.0,1.0,0.15,0.6022707258248718,0.04590726912010168,0.31692190117751395,0.02499910923247839,-0.1348112552337012,1.55936282574159,0.12969060076575079,178.5
