bucket,years,days,ffr_mean,synth_cagr,tf_cagr,gap
FFR<2%,15,3778,0.0032367857686513503,0.14021399678065882,0.13564242973106655,0.004571567049592273
2≤FFR<5%,18,4318,0.03375513086445746,0.1275357083666695,0.0860551462394521,0.0414805621272174
FFR≥5%,32,8050,0.0664353314589431,0.21658374979067552,0.11941528922190003,0.09716846056877548
