year,days,ffr_mean,synth_total,tf_total,bucket
1962,251,0.0252,0.785001332108245,0.790570787805908,2≤FFR<5%
1963,251,0.02700717131474104,1.4268476040155675,1.4301439557661462,2≤FFR<5%
1964,253,0.027092490118577076,1.3124317876710363,1.288078425970858,2≤FFR<5%
1965,252,0.0378,1.2919298456728399,1.1908133310733429,2≤FFR<5%
1966,252,0.05040000000000001,0.820219824767493,0.7464795462987672,FFR≥5%
1967,251,0.04588207171314741,1.6440784920297438,1.439628178483352,2≤FFR<5%
1968,226,0.052295575221238934,1.2697753997319712,1.1451966848164543,FFR≥5%
1969,250,0.06501599999999999,0.7783251714987944,0.752742902415464,FFR≥5%
1970,254,0.06488503937007874,0.9714446350985649,0.964941673610072,FFR≥5%
1971,253,0.04402529644268775,1.3260123350368678,1.2129979428009128,2≤FFR<5%
1972,251,0.0353402390438247,1.3377282641338268,1.3246737041233958,2≤FFR<5%
1973,252,0.06699999999999999,0.63179744563675,0.6381217288944887,FFR≥5%
1974,253,0.07739288537549406,0.4941578681926516,0.4548910650110248,FFR≥5%
1975,253,0.05468300395256917,1.8494390613118712,1.7055919564689423,FFR≥5%
1976,253,0.0504,1.5829931787295943,1.4194575843872197,FFR≥5%
1977,252,0.05040000000000001,0.922165382245013,0.7961105345645465,FFR≥5%
1978,252,0.0647,1.1322171860385166,1.0129379323066714,FFR≥5%
1979,253,0.10040158102766798,1.4992173510464433,1.211681167094483,FFR≥5%
1980,253,0.10677628458498023,1.7153900830094904,1.4608021330030923,FFR≥5%
1981,253,0.1362592885375494,0.9089251630425016,0.7346617640353797,FFR≥5%
1982,253,0.0961185770750988,1.415132018240983,1.2380939496865149,FFR≥5%
1983,253,0.08376758893280631,1.465441125790801,1.3199999259318294,FFR≥5%
1984,253,0.09641739130434783,1.0586862037083988,0.9809600020295278,FFR≥5%
1985,252,0.07339999999999999,1.7237368217929578,1.5536689700739248,FFR≥5%
1986,253,0.05647588932806324,1.312372418416727,1.2634125050710652,FFR≥5%
1987,253,0.052591304347826086,0.9283435183721146,0.8942216858377795,FFR≥5%
1988,253,0.06105770750988142,1.350133327484534,1.1993866376641764,FFR≥5%
1989,252,0.07779999999999998,1.614413349971648,1.5206627468446363,FFR≥5%
1990,253,0.07559999999999999,0.8540883871807652,0.8265956339947078,FFR≥5%
1991,253,0.052292490118577076,1.7618390014561893,1.5474483991226027,FFR≥5%
1992,254,0.03164881889763779,1.1755402741132572,1.0913365581833647,2≤FFR<5%
1993,253,0.0252,1.2081320834898492,1.1444620449123066,2≤FFR<5%
1994,252,0.035899999999999994,0.9722672503221695,0.9445041394760816,2≤FFR<5%
1995,252,0.05040000000000001,1.8280099809466197,1.7597468994943175,FFR≥5%
1996,254,0.0504,1.4355784474568831,1.3810204269132618,FFR≥5%
1997,253,0.0504,1.6575276023670404,1.597406990460218,FFR≥5%
1998,252,0.0482,1.475517139756232,1.4738871093469181,2≤FFR<5%
1999,252,0.05040000000000001,1.5245531547653874,1.317922116551901,FFR≥5%
2000,252,0.0566,0.7264683962080739,0.7132906569007448,FFR≥5%
2001,248,0.03719032258064516,0.7169559070436469,0.706193012485412,2≤FFR<5%
2002,252,0.025200000000000004,0.5679370267234208,0.5589384533565358,2≤FFR<5%
2003,252,0.0,1.5827435712294038,1.5671337927832902,FFR<2%
2004,252,0.010700000000000001,1.1983309168721643,1.1835403077087696,FFR<2%
2005,252,0.0273,1.0764137949840324,1.041566670840362,2≤FFR<5%
2006,251,0.0504,1.3155650670705046,1.2490131821996107,FFR≥5%
2007,251,0.046082868525896416,1.066986681669074,1.0123828679856361,2≤FFR<5%
2008,253,0.01882529644268775,0.33319417967326254,0.32695647564722186,FFR<2%
2009,252,0.0,1.4730894370747218,1.4741712727798604,FFR<2%
2010,252,0.0,1.2691657605561086,1.269856717186919,FFR<2%
2011,252,0.0,0.9741339317961814,0.9754722331954193,FFR<2%
2012,250,0.0,1.3109093868679307,1.3121136670639266,FFR<2%
2013,252,0.0,1.7115551680561631,1.713786030581626,FFR<2%
2014,252,0.0,1.2584706154506975,1.2603725999396702,FFR<2%
2015,252,0.0,0.9909820891594241,0.9919863867626554,FFR<2%
2016,252,0.0,1.2208597611483787,1.2186005396669926,FFR<2%
2017,251,0.0,1.4596160811527217,1.4472385643912855,FFR<2%
2018,251,0.0252,0.8760031353981111,0.8607010871634285,2≤FFR<5%
2019,252,0.025200000000000004,1.6778133582031065,1.6426017168834897,2≤FFR<5%
2020,253,0.006175494071146245,1.2355127824630767,1.2336184874382425,FFR<2%
2021,252,0.0,1.6132689371123285,1.6158851350360537,FFR<2%
2022,251,0.012850996015936256,0.6251172582441364,0.6151251848121876,FFR<2%
2023,250,0.0504,1.5500436695494026,1.4710259063294562,FFR≥5%
2024,252,0.05040000000000001,1.5196206658424352,1.4397235472349896,FFR≥5%
2025,250,0.0504,1.3227394799998067,1.2664920068195553,FFR≥5%
2026,39,0.038123076923076926,1.0082887514037955,1.0024464364935086,2≤FFR<5%
