regime,entry_date,exit_date,bars_held,pure_entry_equity,pure_exit_equity,pure_net_pnl_pct,tax15_entry_equity,tax15_exit_equity,tax15_tax_paid,tax15_net_pnl_pct
-1 short/cash,2010-01-29,2010-02-01,1,1.0,0.9985,-0.0014999999999999458,1.0,0.9985,0.0,-0.0014999999999999458
+1 long,2010-02-01,2010-05-20,76,0.9985,0.9644078184248517,-0.03414339667015365,0.9985,0.9644078184248517,0.0,-0.03414339667015365
-1 short/cash,2010-05-20,2010-08-02,50,0.9644078184248517,0.9629612066972144,-0.0014999999999999458,0.9644078184248517,0.9629612066972144,0.0,-0.0014999999999999458
+1 long,2010-08-02,2010-08-20,14,0.9629612066972144,0.8730120926576381,-0.09340886570922802,0.9629612066972144,0.8730120926576381,0.0,-0.09340886570922802
-1 short/cash,2010-08-20,2010-09-13,15,0.8730120926576381,0.8717025745186516,-0.0015000000000000568,0.8730120926576381,0.8717025745186516,0.0,-0.0015000000000000568
+1 long,2010-09-13,2011-08-02,224,0.8717025745186516,1.0932120410958988,0.254111290998037,0.8717025745186516,1.0597894880300451,0.03347276220916752,0.21576959734833157
-1 short/cash,2011-08-02,2011-10-24,58,1.0932120410958988,1.0915722230342548,-0.0015000000000000568,1.0597894880300451,1.058199803798,0.0,-0.0015000000000000568
+1 long,2011-10-24,2011-11-21,20,1.0915722230342548,0.9835711219631155,-0.09894086602069041,1.058199803798,0.9535005987873008,0.0,-0.09894086602069085
-1 short/cash,2011-11-21,2011-12-05,9,0.9835711219631155,0.9820957652801708,-0.0014999999999999458,0.9535005987873008,0.9520703478891198,0.0,-0.0014999999999999458
+1 long,2011-12-05,2012-06-01,123,0.9820957652801708,1.0171958838599422,0.035740016219047765,0.9520703478891198,0.980779090284793,0.005326256664556877,0.030154013786192202
-1 short/cash,2012-06-01,2012-06-18,11,1.0171958838599422,1.0156700900341522,-0.0015000000000000568,0.980779090284793,0.9793079216493659,0.0,-0.0014999999999999458
+1 long,2012-06-18,2014-10-13,583,1.0156700900341522,2.040814416265224,1.009328064585028,0.9793079216493659,1.8192641011794604,0.14870985444270554,0.8577038548972697
-1 short/cash,2014-10-13,2014-10-24,9,2.040814416265224,2.0377531946408265,-0.0014999999999999458,1.8192641011794604,1.816535205027691,0.0,-0.0015000000000000568
+1 long,2014-10-24,2015-08-21,207,2.0377531946408265,2.0747679899616074,0.01816451345439063,1.816535205027691,1.8441734910528478,0.005366241509210578,0.015214836436233892
-1 short/cash,2015-08-21,2015-10-23,44,2.0747679899616074,2.071655837976665,-0.0014999999999999458,1.8441734910528478,1.8414072308162686,0.0,-0.0014999999999999458
+1 long,2015-10-23,2016-01-06,50,2.071655837976665,1.9063213193611925,-0.07980790804371773,1.8414072308162686,1.694448371868246,0.0,-0.07980790804371829
