feature,importance
vol_60,0.2170282527587543
corr_spy_60,0.1719745286348446
vol_20,0.13969973682357398
mom_zscore_60,0.13900066215860662
ret_20,0.1124904949850032
ret_5,0.08531071771446358
rsi_14,0.0733958555536138
ret_1,0.042695567194420886
regime_spy200,0.01296896496410563
dow,0.005435219212613518
