asset,entry_date,entry_price,exit_date,exit_price,hold_days,direction,notional,gross_pnl_pct,gross_pnl_brl,tax_brl,net_pnl_brl,cumulative_equity_brl
QQQ,2001-10-25T00:00:00,31.0820084071,2001-12-19T00:00:00,34.2155478416,55,long,100000.0,0.10081521739065656,10081.521739065656,1512.2282608598484,8569.293478205807,108569.2934782058
QQQ,2002-08-19T00:00:00,21.3688807799,2002-08-30T00:00:00,19.8401189533,11,long,100000.0,-0.07154150197880202,-7154.150197880202,0.0,-7154.150197880202,101415.1432803256
QQQ,2002-10-15T00:00:00,19.8992423389,2002-12-06T00:00:00,22.3570859385,52,long,100000.0,0.12351443124019296,12351.443124019295,1852.716468602894,10498.726655416402,111913.869935742
QQQ,2003-01-10T00:00:00,22.8891964085,2003-01-17T00:00:00,21.3773269778,7,long,100000.0,-0.0660516605178223,-6605.166051782229,0.0,-6605.166051782229,105308.70388395977
QQQ,2003-03-13T00:00:00,21.6391591139,2003-03-28T00:00:00,22.0276842189,15,long,100000.0,0.017954722868617788,1795.472286861779,269.3208430292668,1526.151443832512,106834.85532779228
QQQ,2003-04-22T00:00:00,23.1679209404,2003-05-16T00:00:00,24.2405880784,24,long,100000.0,0.04629967189371288,4629.967189371288,694.4950784056932,3935.472110965595,110770.32743875787
QQQ,2003-05-27T00:00:00,24.5784359958,2003-06-24T00:00:00,25.0683154762,28,long,100000.0,0.019931271480565744,1993.1271480565745,298.9690722084862,1694.1580758480882,112464.48551460596
QQQ,2003-07-07T00:00:00,26.9349252202,2003-07-18T00:00:00,26.419707146,11,long,100000.0,-0.019128253373193297,-1912.8253373193297,0.0,-1912.8253373193297,110551.66017728663
QQQ,2003-08-19T00:00:00,27.3403427211,2003-09-24T00:00:00,28.0582695458,36,long,100000.0,0.026258881683510815,2625.8881683510817,393.88322525266227,2232.0049430984195,112783.66512038505
QQQ,2003-12-29T00:00:00,30.7895877465,2004-01-27T00:00:00,31.8880088241,29,long,100000.0,0.03567508232470128,3567.5082324701275,535.126234870519,3032.3819975996084,115816.04711798465
