base_rank,base_cfg_id,indicator,lambda_de_lever,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,mean_position,delta_cagr,delta_mdd,effectiveness
1,SMA_N150_th0_bL2_sL0,ebp,0.0,0.25324014165179265,0.9099415195110357,0.4052976636643203,0.6248250714357282,1.267001543009164,0.29690855340239214,98,1.0,0.0,0.0,0.0
1,SMA_N150_th0_bL2_sL0,ebp,0.3,0.2403082101380003,0.9014836418950656,0.3999420137129792,0.6008576291023502,1.2517998625628481,0.28399135537821746,98,0.9616514182408729,-0.01293193151379235,0.005355649951341079,0.4141415337398821
1,SMA_N150_th0_bL2_sL0,ebp,0.5,0.23129606842445005,0.8920833815573844,0.39635143460970995,0.5835630913061004,1.2368937312190844,0.2764050167583957,98,0.9360856970681213,-0.021944073227342598,0.008946229054610344,0.407683157175361
1,SMA_N150_th0_bL2_sL0,ebp,0.7,0.22198048268006731,0.87920265774521,0.39274468283236486,0.565203024721318,1.217641229278812,0.2697206163520959,98,0.9105199758953698,-0.031259658971725335,0.01255298083195544,0.401571266126407
1,SMA_N150_th0_bL2_sL0,term_spread,0.0,0.25324014165179265,0.9099415195110357,0.4052976636643203,0.6248250714357282,1.267001543009164,0.29690855340239214,98,1.0,0.0,0.0,0.0
1,SMA_N150_th0_bL2_sL0,term_spread,0.3,0.2272116578220258,0.8992486330571394,0.37262370836054143,0.6097616784012612,1.2526699823524658,0.26785351374978555,98,0.900659523504248,-0.026028483829766857,0.03267395530377887,1.2553153505780492
1,SMA_N150_th0_bL2_sL0,term_spread,0.5,0.20888920026568458,0.8827264438293972,0.37262370836054143,0.5605902028745003,1.2304994905400939,0.25073667863894067,98,0.8344325391737469,-0.04435094138610807,0.03267395530377887,0.7367139069118666
1,SMA_N150_th0_bL2_sL0,term_spread,0.7,0.1898432186796255,0.8554823319837939,0.37262370836054143,0.5094770258041067,1.193849084374337,0.23588668018203962,98,0.7682055548432454,-0.06339692297216715,0.03267395530377887,0.5153870846085631
1,SMA_N150_th0_bL2_sL0,cape,0.0,0.25324014165179265,0.9099415195110357,0.4052976636643203,0.6248250714357282,1.267001543009164,0.29690855340239214,98,1.0,0.0,0.0,0.0
1,SMA_N150_th0_bL2_sL0,cape,0.3,0.2284762005986576,0.9006810745025734,0.37262370836054143,0.6131552970794593,1.2573525437166093,0.2688827328362299,98,0.8925446616476561,-0.024763941053135063,0.03267395530377887,1.3194166160253564
1,SMA_N150_th0_bL2_sL0,cape,0.5,0.2108751948744172,0.883955485096867,0.37262370836054143,0.5659199619965662,1.2366564260118391,0.2528593028563898,98,0.8209077694127602,-0.042364946777375456,0.03267395530377887,0.7712497663570308
