base_rank,base_cfg_id,combo,stop_loss_pct,reentry_mode,reentry_param,risk_indicator,risk_lambda,cagr,sharpe,max_drawdown,calmar,sortino,volatility,n_switches,n_stops,mean_position,delta_cagr,delta_mdd,effectiveness
1,EMA_N150_th5_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.1391153583317848,0.7325003385398385,0.3140538508472406,0.4429665739059895,0.9969874356093504,0.207411505717224,21,7,0.8808923271147213,-0.011881818741404704,0.07702607859251831,6.482684197504604
1,EMA_N150_th5_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.14568025670509654,0.7448613385331677,0.28683546580474406,0.507887880239554,1.0118899625635855,0.21342733446690929,17,7,0.9051623832508598,-0.005316920368092948,0.10424446363501483,19.606173577582624
1,EMA_N150_th5_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.12905304878500656,0.6854533576806495,0.36112522038790845,0.35736371069952455,0.931092183939865,0.20926578527632622,17,1,0.8856283815719295,-0.02194412828818293,0.029954709051850437,1.3650443826461434
1,EMA_N150_th5_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.13890122822628892,0.7083752520812973,0.29314579872187224,0.47382984450708143,0.9625841299562918,0.21718295834502394,15,0,0.9160472625333445,-0.012095948846900573,0.09793413071788665,8.096440548604088
2,SMA_N150_th2_bL2_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.11457108961896711,0.6403318089142628,0.4271413973546103,0.2682275478999074,0.8724297111169746,0.20118851247695332,42,7,0.8775394711398089,-0.03638265804426655,0.007141584986780636,0.1962909081049415
2,SMA_N150_th2_bL2_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.1299215055922991,0.6904313872099195,0.32353716514089037,0.4015659392197565,0.9445143415880735,0.20865130070097695,38,6,0.9024488349532362,-0.02103224207093457,0.11074581720050058,5.265525987528708
2,SMA_N150_th2_bL2_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.1236654433352058,0.6789572664781699,0.4109167966310747,0.30095008125509626,0.9272460494559192,0.2019332892688773,34,2,0.8804178108365674,-0.027288304328027868,0.023366185710316234,0.8562710760417891
2,SMA_N150_th2_bL2_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.11807448117308761,0.6364051653523205,0.4109167966310747,0.2873440125619788,0.8672158090649582,0.21037632618610133,34,2,0.9052434862563226,-0.03287926649014605,0.023366185710316234,0.7106662710166938
3,EMA_N150_th5_bL1_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.08360280406375065,0.8107500527757622,0.15944410997104402,0.5243392438825956,1.1089208035381475,0.10597657547549993,15,0,0.899805627164964,-0.008434758706670209,0.05206319334080947,6.172457938795319
3,EMA_N150_th5_bL1_sL0,sl20_cool21_cape05,0.2,time_cooldown,21.0,cape,0.5,0.0838087857016041,0.7921189733973398,0.15060180026536926,0.5564925887600818,1.080472951068605,0.10914393439686942,15,0,0.9160472625333445,-0.00822877706881675,0.06090550304648423,7.401525468138862
3,EMA_N150_th5_bL1_sL0,sl30_rec10_composite05,0.3,recovery_trigger,0.1,composite,0.5,0.08360280406375065,0.8107500527757622,0.15944410997104402,0.5243392438825956,1.1089208035381475,0.10597657547549993,15,0,0.899805627164964,-0.008434758706670209,0.05206319334080947,6.172457938795319
3,EMA_N150_th5_bL1_sL0,sl30_rec10_cape05,0.3,recovery_trigger,0.1,cape,0.5,0.0838087857016041,0.7921189733973398,0.15060180026536926,0.5564925887600818,1.080472951068605,0.10914393439686942,15,0,0.9160472625333445,-0.00822877706881675,0.06090550304648423,7.401525468138862
4,EMA_N150_th5_bL3_sL0,sl20_cool21_composite05,0.2,time_cooldown,21.0,composite,0.5,0.11549806632552673,0.5296422818584555,0.45262501465933125,0.25517384719104946,0.7114507663095793,0.28266990361286254,40,18,0.8162784286232659,-0.08699221730344897,0.08971115710401456,1.03125497756979
