leg,entry_date,exit_date,hold_days,weight,entry_price,exit_price,gross_ret_pct,leveraged_ret_pct,split
GLD,2015-07-24,2015-07-28,4,0.5,105.35,105.02,-0.3132,-0.3132,IS
SPY,2015-07-28,2015-08-06,9,1.0,209.31,208.35,-0.4586,-0.9173,IS
GLD,2015-08-06,2015-08-10,4,0.5,104.39,105.72,1.2741,1.2741,IS
SPY,2015-08-10,2015-08-11,1,1.0,210.63,208.66,-0.9353,-1.8706,IS
GLD,2015-08-11,2015-08-14,3,0.5,106.26,106.85,0.5552,0.5552,IS
SPY,2015-08-14,2015-08-19,5,1.0,209.36,208.28,-0.5159,-1.0317,IS
GLD,2015-08-19,2015-10-15,57,0.5,108.55,113.29,4.3667,4.3667,IS
QQQ,2015-10-12,2015-10-13,1,1.0,106.79,106.1,-0.6461,-1.2923,IS
QQQ,2015-10-15,2015-12-18,64,1.0,107.67,109.83,2.0061,4.0123,IS
SPY,2015-10-15,2015-10-21,6,1.0,202.35,201.85,-0.2471,-0.4942,IS
GLD,2015-10-21,2015-10-22,1,0.5,111.73,111.69,-0.0358,-0.0358,IS
SPY,2015-10-22,2015-11-13,22,1.0,205.21,202.54,-1.3011,-2.6022,IS
GLD,2015-11-13,2015-11-16,3,0.5,103.56,103.71,0.1448,0.1448,IS
SPY,2015-11-16,2015-12-11,25,1.0,205.62,201.88,-1.8189,-3.6378,IS
GLD,2015-12-11,2015-12-15,4,0.5,103.11,101.52,-1.542,-1.542,IS
SPY,2015-12-15,2015-12-17,2,1.0,205.03,204.86,-0.0829,-0.1658,IS
GLD,2015-12-17,2015-12-23,6,0.5,100.5,102.31,1.801,1.801,IS
QQQ,2015-12-21,2016-01-04,14,1.0,111.05,109.5,-1.3958,-2.7915,IS
SPY,2015-12-23,2015-12-31,8,1.0,206.02,203.87,-1.0436,-2.0872,IS
GLD,2015-12-31,2016-03-11,71,0.5,101.46,119.41,17.6917,17.6917,IS
SPY,2016-03-01,2016-06-24,115,1.0,198.11,203.24,2.5895,5.1789,IS
QQQ,2016-03-11,2016-04-28,48,1.0,106.49,106.28,-0.1972,-0.3944,IS
GLD,2016-04-28,2016-05-10,12,0.5,121.29,120.98,-0.2556,-0.2556,IS
QQQ,2016-05-10,2016-05-11,1,1.0,107.33,106.36,-0.9038,-1.8075,IS
GLD,2016-05-11,2016-05-24,13,0.5,122.12,117.3,-3.9469,-3.9469,IS
QQQ,2016-05-24,2016-06-17,24,1.0,108.46,106.49,-1.8163,-3.6327,IS
GLD,2016-06-17,2016-06-23,6,0.5,123.95,120.11,-3.098,-3.098,IS
QQQ,2016-06-23,2016-06-24,1,1.0,108.77,104.29,-4.1188,-8.2376,IS
GLD,2016-06-24,2016-06-30,6,1.0,126.01,126.47,0.3651,0.3651,IS
SPY,2016-06-29,2016-10-11,104,1.0,206.66,213.43,3.2759,6.5518,IS
QQQ,2016-06-30,2016-11-02,125,1.0,107.54,115.18,7.1043,14.2087,IS
GLD,2016-10-11,2016-10-12,1,0.5,119.55,119.74,0.1589,0.1589,IS
SPY,2016-10-12,2016-10-13,1,1.0,213.71,213.01,-0.3276,-0.6551,IS
GLD,2016-10-13,2016-10-18,5,0.5,120.03,120.42,0.3249,0.3249,IS
SPY,2016-10-18,2016-10-27,9,1.0,213.71,213.17,-0.2527,-0.5054,IS
GLD,2016-10-27,2016-11-08,12,0.5,121.01,121.64,0.5206,0.5206,IS
QQQ,2016-11-07,2016-11-14,7,1.0,116.35,114.63,-1.4783,-2.9566,IS
SPY,2016-11-08,2018-02-05,454,1.0,214.11,263.93,23.2684,46.5368,IS
GLD,2016-11-14,2016-11-15,1,0.5,116.11,117.12,0.8699,0.8699,IS
QQQ,2016-11-15,2016-12-01,16,1.0,116.22,115.47,-0.6453,-1.2907,IS
GLD,2016-12-01,2016-12-05,4,0.5,111.54,111.54,0.0,0.0,IS
QQQ,2016-12-05,2018-02-08,430,1.0,116.6,153.45,31.6038,63.2075,IS
GLD,2018-02-05,2018-02-06,1,0.5,126.71,125.38,-1.0496,-1.0496,OOS
SPY,2018-02-06,2018-02-08,2,1.0,269.13,257.63,-4.273,-8.5461,OOS
GLD,2018-02-08,2018-02-12,4,1.0,124.98,125.37,0.312,0.312,OOS
QQQ,2018-02-12,2018-03-23,39,1.0,158.87,158.51,-0.2266,-0.4532,OOS
SPY,2018-02-12,2018-03-22,38,1.0,265.34,263.67,-0.6294,-1.2588,OOS
GLD,2018-03-22,2018-04-16,25,0.5,125.98,127.63,1.3097,1.3097,OOS
QQQ,2018-03-26,2018-03-27,1,1.0,164.4,159.08,-3.236,-6.472,OOS
QQQ,2018-04-10,2018-04-11,1,1.0,161.21,160.28,-0.5769,-1.1538,OOS
QQQ,2018-04-12,2018-04-24,12,1.0,162.21,158.46,-2.3118,-4.6236,OOS
SPY,2018-04-16,2018-04-20,4,1.0,267.33,266.61,-0.2693,-0.5387,OOS
GLD,2018-04-20,2018-05-07,17,0.5,126.63,124.57,-1.6268,-1.6268,OOS
QQQ,2018-04-26,2018-04-30,4,1.0,161.99,160.94,-0.6482,-1.2964,OOS
QQQ,2018-05-01,2018-10-10,162,1.0,162.78,171.73,5.4982,10.9964,OOS
SPY,2018-05-07,2018-06-27,51,1.0,266.92,269.35,0.9104,1.8208,OOS
GLD,2018-06-27,2018-06-28,1,0.5,118.58,118.22,-0.3036,-0.3036,OOS
SPY,2018-06-28,2018-10-10,104,1.0,270.89,278.3,2.7354,5.4709,OOS
GLD,2018-10-10,2019-01-31,113,1.0,112.88,124.75,10.5156,10.5156,OOS
SPY,2018-11-07,2018-11-09,2,1.0,281.01,277.76,-1.1565,-2.3131,OOS
SPY,2018-12-03,2018-12-04,1,1.0,279.3,270.25,-3.2402,-6.4805,OOS
SPY,2019-01-30,2019-05-28,118,1.0,267.58,280.15,4.6977,9.3953,OOS
QQQ,2019-01-31,2019-05-23,112,1.0,168.16,178.25,6.0002,12.0005,OOS
GLD,2019-05-23,2019-06-07,15,0.5,121.17,126.59,4.4731,4.4731,OOS
SPY,2019-06-05,2019-08-05,61,1.0,282.96,283.82,0.3039,0.6079,OOS
QQQ,2019-06-07,2019-08-05,59,1.0,181.04,180.73,-0.1712,-0.3425,OOS
GLD,2019-08-05,2019-08-08,3,1.0,137.79,141.73,2.8594,2.8594,OOS
QQQ,2019-08-08,2019-08-12,4,1.0,188.26,184.35,-2.0769,-4.1538,OOS
SPY,2019-08-08,2019-08-12,4,1.0,293.62,288.07,-1.8902,-3.7804,OOS
GLD,2019-08-12,2019-08-13,1,1.0,142.63,141.78,-0.5959,-0.5959,OOS
QQQ,2019-08-13,2019-08-14,1,1.0,188.39,182.76,-2.9885,-5.977,OOS
SPY,2019-08-13,2019-08-14,1,1.0,292.55,283.9,-2.9568,-5.9135,OOS
GLD,2019-08-14,2019-08-19,5,1.0,142.75,141.11,-1.1489,-1.1489,OOS
QQQ,2019-08-16,2019-08-23,7,1.0,185.48,182.07,-1.8385,-3.6769,OOS
SPY,2019-08-19,2019-08-23,4,1.0,292.33,284.85,-2.5588,-5.1175,OOS
GLD,2019-08-23,2019-08-29,6,1.0,144.17,144.12,-0.0347,-0.0347,OOS
QQQ,2019-08-28,2019-10-02,35,1.0,185.09,184.05,-0.5619,-1.1238,OOS
SPY,2019-08-29,2019-10-02,34,1.0,292.58,288.06,-1.5449,-3.0898,OOS
GLD,2019-10-02,2019-10-04,2,1.0,141.26,141.9,0.4531,0.4531,OOS
QQQ,2019-10-04,2019-10-08,4,1.0,188.81,185.42,-1.7955,-3.5909,OOS
SPY,2019-10-04,2019-10-08,4,1.0,294.35,288.53,-1.9772,-3.9545,OOS
GLD,2019-10-08,2019-10-10,2,1.0,141.92,140.81,-0.7821,-0.7821,OOS
QQQ,2019-10-09,2020-02-27,141,1.0,187.23,205.64,9.8328,19.6657,OOS
SPY,2019-10-10,2020-02-25,138,1.0,293.24,312.65,6.6192,13.2383,OOS
GLD,2020-02-25,2020-04-29,64,0.5,153.3,161.73,5.499,5.499,OOS
QQQ,2020-03-02,2020-03-03,1,1.0,216.42,209.48,-3.2067,-6.4135,OOS
QQQ,2020-03-04,2020-03-05,1,1.0,218.22,211.59,-3.0382,-6.0764,OOS
QQQ,2020-04-13,2021-03-04,325,1.0,203.03,304.1,49.7808,99.5616,OOS
SPY,2020-04-29,2020-04-30,1,1.0,293.21,290.48,-0.9311,-1.8621,OOS
GLD,2020-04-30,2020-05-08,8,0.5,158.8,160.42,1.0202,1.0202,OOS
SPY,2020-05-08,2020-05-12,4,1.0,292.44,286.67,-1.9731,-3.9461,OOS
GLD,2020-05-12,2020-05-18,6,0.5,160.04,162.69,1.6558,1.6558,OOS
SPY,2020-05-18,2020-09-23,128,1.0,295.0,322.64,9.3695,18.739,OOS
GLD,2020-09-23,2020-09-24,1,0.5,174.79,175.44,0.3719,0.3719,OOS
SPY,2020-09-24,2020-10-28,34,1.0,323.5,326.66,0.9768,1.9536,OOS
GLD,2020-10-28,2020-10-29,1,0.5,176.13,175.4,-0.4145,-0.4145,OOS
SPY,2020-10-29,2020-10-30,1,1.0,329.98,326.54,-1.0425,-2.085,OOS
GLD,2020-10-30,2020-11-02,3,0.5,176.2,177.91,0.9705,0.9705,OOS
SPY,2020-11-02,2021-09-30,332,1.0,330.2,429.14,29.9637,59.9273,OOS
GLD,2021-03-04,2021-03-05,1,0.5,159.04,159.14,0.0629,0.0629,OOS
QQQ,2021-03-05,2021-03-08,3,1.0,308.68,299.94,-2.8314,-5.6628,OOS
GLD,2021-03-08,2021-03-09,1,0.5,157.49,160.84,2.1271,2.1271,OOS
QQQ,2021-03-09,2021-05-12,64,1.0,311.77,316.89,1.6422,3.2845,OOS
GLD,2021-05-12,2021-05-14,2,0.5,170.43,172.69,1.3261,1.3261,OOS
QQQ,2021-05-14,2021-09-30,139,1.0,326.39,357.96,9.6725,19.345,OOS
GLD,2021-09-30,2021-10-01,1,1.0,164.22,164.59,0.2253,0.2253,OOS
QQQ,2021-10-01,2021-10-04,3,1.0,360.18,352.62,-2.099,-4.1979,OOS
SPY,2021-10-01,2021-10-04,3,1.0,434.24,428.64,-1.2896,-2.5792,OOS
GLD,2021-10-04,2021-10-06,2,1.0,165.36,165.03,-0.1996,-0.1996,OOS
SPY,2021-10-05,2022-01-18,105,1.0,433.1,456.49,5.4006,10.8012,OOS
QQQ,2021-10-06,2021-10-11,5,1.0,359.67,358.39,-0.3559,-0.7118,OOS
GLD,2021-10-11,2021-10-13,2,0.5,163.92,167.59,2.2389,2.2389,OOS
QQQ,2021-10-13,2022-01-07,86,1.0,360.0,379.86,5.5167,11.0333,OOS
GLD,2022-01-07,2022-01-11,4,0.5,167.75,170.29,1.5142,1.5142,OOS
QQQ,2022-01-11,2022-01-13,2,1.0,385.82,377.66,-2.115,-4.23,OOS
GLD,2022-01-13,2022-03-28,74,0.5,170.16,179.06,5.2304,5.2304,OOS
SPY,2022-02-02,2022-02-03,1,1.0,457.35,446.6,-2.3505,-4.701,OOS
SPY,2022-02-09,2022-02-10,1,1.0,457.54,449.32,-1.7966,-3.5931,OOS
SPY,2022-03-22,2022-03-23,1,1.0,449.59,443.8,-1.2878,-2.5757,OOS
SPY,2022-03-24,2022-04-06,13,1.0,450.49,446.52,-0.8813,-1.7625,OOS
QQQ,2022-03-28,2022-04-06,9,1.0,364.91,353.26,-3.1926,-6.3851,OOS
GLD,2022-04-06,2022-07-29,114,1.0,179.66,164.1,-8.6608,-8.6608,OOS
SPY,2022-04-07,2022-04-11,4,1.0,448.77,439.92,-1.9721,-3.9441,OOS
QQQ,2022-07-29,2022-08-22,24,1.0,315.46,314.36,-0.3487,-0.6974,OOS
SPY,2022-07-29,2022-08-26,28,1.0,411.99,405.31,-1.6214,-3.2428,OOS
GLD,2022-08-22,2022-08-25,3,0.5,161.64,163.75,1.3054,1.3054,OOS
QQQ,2022-08-25,2022-08-26,1,1.0,320.58,307.44,-4.0988,-8.1976,OOS
GLD,2022-08-26,2022-11-30,96,1.0,161.76,164.81,1.8855,1.8855,OOS
SPY,2022-09-12,2022-09-13,1,1.0,410.97,393.1,-4.3482,-8.6965,OOS
SPY,2022-11-10,2022-12-15,35,1.0,394.69,389.63,-1.282,-2.564,OOS
QQQ,2022-11-30,2022-12-05,5,1.0,293.36,287.64,-1.9498,-3.8996,OOS
GLD,2022-12-05,2023-01-20,46,0.5,164.39,179.29,9.0638,9.0638,OOS
SPY,2023-01-10,2023-01-19,9,1.0,390.58,388.64,-0.4967,-0.9934,OOS
QQQ,2023-01-20,2023-03-10,49,1.0,282.68,288.55,2.0766,4.1531,OOS
SPY,2023-01-20,2023-02-24,35,1.0,395.88,396.38,0.1263,0.2526,OOS
GLD,2023-02-24,2023-02-27,3,0.5,168.35,169.01,0.392,0.392,OOS
SPY,2023-02-27,2023-02-28,1,1.0,397.73,396.26,-0.3696,-0.7392,OOS
GLD,2023-02-28,2023-03-02,2,0.5,169.78,170.66,0.5183,0.5183,OOS
SPY,2023-03-02,2023-03-09,7,1.0,397.81,391.56,-1.5711,-3.1422,OOS
GLD,2023-03-09,2023-03-21,12,0.5,170.2,180.37,5.9753,5.9753,OOS
QQQ,2023-03-13,2023-09-21,192,1.0,290.69,357.86,23.1071,46.2142,OOS
SPY,2023-03-21,2023-03-22,1,1.0,398.91,392.11,-1.7046,-3.4093,OOS
GLD,2023-03-22,2023-03-27,5,0.5,183.44,181.95,-0.8123,-0.8123,OOS
SPY,2023-03-27,2023-03-28,1,1.0,396.49,395.6,-0.2245,-0.4489,OOS
GLD,2023-03-28,2023-03-29,1,0.5,183.44,182.53,-0.4961,-0.4961,OOS
SPY,2023-03-29,2023-09-21,176,1.0,401.35,431.39,7.4847,14.9695,OOS
GLD,2023-09-21,2023-10-10,19,1.0,178.05,172.53,-3.1003,-3.1003,OOS
QQQ,2023-09-25,2023-09-26,1,1.0,359.61,354.21,-1.5016,-3.0033,OOS
QQQ,2023-09-28,2023-10-03,5,1.0,358.01,354.92,-0.8631,-1.7262,OOS
QQQ,2023-10-04,2023-10-20,16,1.0,359.75,354.6,-1.4315,-2.8631,OOS
SPY,2023-10-10,2023-10-12,2,1.0,434.54,433.66,-0.2025,-0.405,OOS
GLD,2023-10-12,2023-10-16,4,0.5,173.26,177.96,2.7127,2.7127,OOS
SPY,2023-10-16,2023-10-18,2,1.0,436.04,430.21,-1.337,-2.6741,OOS
GLD,2023-10-18,2023-11-03,16,0.5,180.87,184.79,2.1673,2.1673,OOS
QQQ,2023-11-02,2024-04-19,169,1.0,363.44,414.65,14.0904,28.1807,OOS
SPY,2023-11-03,2024-08-05,276,1.0,434.69,517.38,19.0228,38.0455,OOS
GLD,2024-04-19,2024-04-23,4,0.5,221.03,215.04,-2.71,-2.71,FWD
QQQ,2024-04-23,2024-05-01,8,1.0,425.07,421.52,-0.8352,-1.6703,FWD
GLD,2024-05-01,2024-05-02,1,0.5,213.79,213.13,-0.3087,-0.3087,FWD
QQQ,2024-05-02,2024-08-02,92,1.0,426.9,448.75,5.1183,10.2366,FWD
GLD,2024-08-02,2024-08-13,11,0.5,225.34,228.06,1.2071,1.2071,FWD
SPY,2024-08-08,2025-02-27,203,1.0,530.65,585.05,10.2516,20.5032,FWD
QQQ,2024-08-13,2024-09-06,24,1.0,462.58,448.69,-3.0027,-6.0054,FWD
GLD,2024-09-06,2024-09-11,5,0.5,230.63,232.25,0.7024,0.7024,FWD
QQQ,2024-09-11,2025-02-27,169,1.0,468.62,500.27,6.7539,13.5077,FWD
GLD,2025-02-27,2025-05-02,64,1.0,264.93,297.98,12.475,12.475,FWD
SPY,2025-02-28,2025-03-03,3,1.0,594.18,583.77,-1.752,-3.504,FWD
QQQ,2025-05-02,2025-05-06,4,1.0,488.83,481.41,-1.5179,-3.0358,FWD
SPY,2025-05-02,2025-05-05,3,1.0,566.76,563.51,-0.5734,-1.1469,FWD
GLD,2025-05-05,2025-05-12,7,0.5,306.88,298.19,-2.8317,-2.8317,FWD
QQQ,2025-05-08,2025-11-20,196,1.0,488.29,585.67,19.9431,39.8861,FWD
SPY,2025-05-12,2026-03-06,298,1.0,582.99,672.38,15.333,30.666,FWD
GLD,2025-11-20,2025-11-21,1,0.5,374.85,374.27,-0.1547,-0.1547,FWD
QQQ,2025-11-21,2026-02-04,75,1.0,590.07,605.75,2.6573,5.3146,FWD
GLD,2026-02-04,2026-02-06,2,0.5,453.97,455.46,0.3282,0.3282,FWD
QQQ,2026-02-06,2026-02-12,6,1.0,609.65,600.64,-1.4779,-2.9558,FWD
GLD,2026-02-12,2026-02-20,8,0.5,451.39,468.62,3.8171,3.8171,FWD
QQQ,2026-02-20,2026-02-23,3,1.0,608.81,601.41,-1.2155,-2.431,FWD
GLD,2026-02-23,2026-02-24,1,0.5,481.28,474.61,-1.3859,-1.3859,FWD
QQQ,2026-02-24,2026-03-03,7,1.0,607.87,601.58,-1.0348,-2.0695,FWD
GLD,2026-03-03,2026-03-04,1,0.5,468.14,471.8,0.7818,0.7818,FWD
QQQ,2026-03-04,2026-03-06,2,1.0,610.75,599.75,-1.8011,-3.6021,FWD
GLD,2026-03-06,2026-03-09,3,1.0,473.51,472.53,-0.207,-0.207,FWD
QQQ,2026-03-09,2026-03-12,3,1.0,607.76,597.26,-1.7277,-3.4553,FWD
SPY,2026-03-09,2026-03-10,1,1.0,678.27,677.18,-0.1607,-0.3214,FWD
GLD,2026-03-10,2026-04-08,29,0.5,477.86,434.53,-9.0675,-9.0675,FWD
QQQ,2026-04-08,2026-04-14,6,1.0,606.09,628.6,3.714,7.4279,FWD*open
SPY,2026-04-08,2026-04-14,6,1.0,676.01,694.46,2.7292,5.4585,FWD*open
