asset,entry_date,entry_price,exit_date,exit_price,hold_days,direction,notional,gross_pnl_pct,gross_pnl_brl,tax_brl,net_pnl_brl,cumulative_equity_brl
GLD,2005-03-08T00:00:00,44.03,2005-03-21T00:00:00,43.09,13,long,100000.0,-0.021349080172609534,-2134.9080172609533,0.0,-2134.9080172609533,97865.09198273905
GLD,2005-06-23T00:00:00,44.02,2005-07-13T00:00:00,42.35,20,long,100000.0,-0.03793730122671517,-3793.7301226715167,0.0,-3793.7301226715167,94071.36186006753
GLD,2005-08-11T00:00:00,44.45,2005-10-31T00:00:00,46.4,81,long,100000.0,0.04386951631046109,4386.9516310461095,658.0427446569164,3728.908886389193,97800.27074645672
GLD,2005-11-16T00:00:00,47.78,2006-02-10T00:00:00,54.79,86,long,100000.0,0.1467141063206362,14671.41063206362,2200.711594809543,12470.699037254077,110270.9697837108
GLD,2006-03-30T00:00:00,58.6,2006-05-31T00:00:00,64.23,62,long,100000.0,0.09607508532423212,9607.508532423211,1441.1262798634816,8166.38225255973,118437.35203627053
GLD,2006-11-03T00:00:00,62.3,2006-12-14T00:00:00,62.12,41,long,100000.0,-0.0028892455858747948,-288.92455858747945,0.0,-288.92455858747945,118148.42747768306
GLD,2007-02-01T00:00:00,65.22,2007-03-01T00:00:00,65.82,28,long,100000.0,0.009199632014719324,919.9632014719324,137.99448022078985,781.9687212511426,118930.3961989342
GLD,2007-04-16T00:00:00,68.4,2007-05-09T00:00:00,67.45,23,long,100000.0,-0.01388888888888893,-1388.888888888893,0.0,-1388.888888888893,117541.50731004532
GLD,2007-07-19T00:00:00,67.01,2007-08-15T00:00:00,66.13,27,long,100000.0,-0.013132368303238466,-1313.2368303238466,0.0,-1313.2368303238466,116228.27047972147
GLD,2007-09-06T00:00:00,68.86,2008-03-19T00:00:00,93.0399,195,long,100000.0,0.35114580307871046,35114.580307871045,5267.187046180657,29847.393261690388,146075.66374141184
GLD,2008-07-01T00:00:00,92.66,2008-07-29T00:00:00,90.59,28,long,100000.0,-0.02233973667170293,-2233.9736671702926,0.0,-2233.9736671702926,143841.69007424155
GLD,2008-12-15T00:00:00,82.6,2009-01-13T00:00:00,80.88,29,long,100000.0,-0.0208232445520581,-2082.32445520581,0.0,-2082.32445520581,141759.36561903573
GLD,2009-01-23T00:00:00,88.53,2009-04-03T00:00:00,87.59,70,long,100000.0,-0.010617869648706627,-1061.7869648706626,0.0,-1061.7869648706626,140697.57865416506
GLD,2009-05-21T00:00:00,93.85,2009-07-07T00:00:00,90.71,47,long,100000.0,-0.0334576451784763,-3345.7645178476296,0.0,-3345.7645178476296,137351.81413631744
GLD,2009-09-03T00:00:00,97.46,2009-12-16T00:00:00,111.59,104,long,100000.0,0.14498255694643966,14498.255694643965,2174.7383541965946,12323.517340447372,149675.3314767648
GLD,2010-04-07T00:00:00,112.49,2010-06-30T00:00:00,121.68,84,long,100000.0,0.08169615076895735,8169.615076895735,1225.4422615343601,6944.172815361375,156619.5042921262
GLD,2010-09-14T00:00:00,124.024,2011-01-13T00:00:00,134.05,121,long,100000.0,0.0808391924143715,8083.91924143715,1212.5878862155726,6871.331355221578,163490.83564734776
